Fiscal year,FSTC percent,Section ID,Participatory development and good governance,CIDA business delivery model (old),CountryRegion ID,Organisation class,Sector ID,Enviromental sustainability (marker),Organisation name,CountryRegion name,Continent ID,Climate change adaptation (marker),Section name,Trade development (marker),Biodiversity (marker),Urban issues (marker),Children issues (marker),Youth issues (marker),Indigenous issues (marker),Disability issues (marker),ICT as a tool for development (marker),Knowledge for development (marker),Gender equality (marker),Organisation ID,Organisation type,Organisation sub-class,Continent name,Project Browser country ID,CountryRegion percent,Sector name,Sector percent,Amount spent
2009/2010,1.0,S6213,0,Responsive,SL,Civil Society,15150,0,Canadian Teachers' Federation,Sierra Leone,2,0,Education,0,0,0,1,1,0,0,0,0,2,1001881,Canadian Non-Profit Making,ASSOCIATIONS,Africa,SL,0.05,Democratic participation and civil society,0.5,62714.6
2009/2010,1.0,S6213,0,Responsive,SV,Civil Society,11110,0,Canadian Teachers' Federation,El Salvador,1,0,Education,0,0,0,1,1,0,0,0,0,2,1001881,Canadian Non-Profit Making,ASSOCIATIONS,America,SV,0.01,Education policy and administrative management,0.25,6271.46
2009/2010,1.0,S6213,0,Responsive,SV,Civil Society,11130,0,Canadian Teachers' Federation,El Salvador,1,0,Education,0,0,0,1,1,0,0,0,0,2,1001881,Canadian Non-Profit Making,ASSOCIATIONS,America,SV,0.01,Teacher training,0.25,6271.46
2009/2010,1.0,S6213,0,Responsive,SV,Civil Society,15150,0,Canadian Teachers' Federation,El Salvador,1,0,Education,0,0,0,1,1,0,0,0,0,2,1001881,Canadian Non-Profit Making,ASSOCIATIONS,America,SV,0.01,Democratic participation and civil society,0.5,12542.92
2009/2010,1.0,S6213,0,Responsive,TG,Civil Society,11110,0,Canadian Teachers' Federation,Togo,2,0,Education,0,0,0,1,1,0,0,0,0,2,1001881,Canadian Non-Profit Making,ASSOCIATIONS,Africa,TG,0.22,Education policy and administrative management,0.25,137972.12
2009/2010,1.0,S6213,0,Responsive,TG,Civil Society,11130,0,Canadian Teachers' Federation,Togo,2,0,Education,0,0,0,1,1,0,0,0,0,2,1001881,Canadian Non-Profit Making,ASSOCIATIONS,Africa,TG,0.22,Teacher training,0.25,137972.12
2009/2010,1.0,S6213,0,Responsive,TG,Civil Society,15150,0,Canadian Teachers' Federation,Togo,2,0,Education,0,0,0,1,1,0,0,0,0,2,1001881,Canadian Non-Profit Making,ASSOCIATIONS,Africa,TG,0.22,Democratic participation and civil society,0.5,275944.24
2009/2010,1.0,S6213,0,Responsive,UG,Civil Society,11110,0,Canadian Teachers' Federation,Uganda,2,0,Education,0,0,0,1,1,0,0,0,0,2,1001881,Canadian Non-Profit Making,ASSOCIATIONS,Africa,UG,0.04,Education policy and administrative management,0.25,25085.84
2009/2010,1.0,S6213,0,Responsive,UG,Civil Society,11130,0,Canadian Teachers' Federation,Uganda,2,0,Education,0,0,0,1,1,0,0,0,0,2,1001881,Canadian Non-Profit Making,ASSOCIATIONS,Africa,UG,0.04,Teacher training,0.25,25085.84
2009/2010,1.0,S6213,0,Responsive,UG,Civil Society,15150,0,Canadian Teachers' Federation,Uganda,2,0,Education,0,0,0,1,1,0,0,0,0,2,1001881,Canadian Non-Profit Making,ASSOCIATIONS,Africa,UG,0.04,Democratic participation and civil society,0.5,50171.68
2009/2010,1.0,S6213,0,Responsive,VC,Civil Society,11110,0,Canadian Teachers' Federation,St.Vincent & Gr,1,0,Education,0,0,0,1,1,0,0,0,0,2,1001881,Canadian Non-Profit Making,ASSOCIATIONS,America,VC,0.02,Education policy and administrative management,0.25,12542.92
2009/2010,1.0,S6213,0,Responsive,VC,Civil Society,11130,0,Canadian Teachers' Federation,St.Vincent & Gr,1,0,Education,0,0,0,1,1,0,0,0,0,2,1001881,Canadian Non-Profit Making,ASSOCIATIONS,America,VC,0.02,Teacher training,0.25,12542.92
2009/2010,1.0,S6213,0,Responsive,VC,Civil Society,15150,0,Canadian Teachers' Federation,St.Vincent & Gr,1,0,Education,0,0,0,1,1,0,0,0,0,2,1001881,Canadian Non-Profit Making,ASSOCIATIONS,America,VC,0.02,Democratic participation and civil society,0.5,25085.84
2009/2010,0.8,S6218,0,Responsive,CA,Civil Society,11110,0,Canadian Bureau for International Education,Canada,1,0,Governance & Human Rights,0,0,0,0,1,0,0,0,0,2,1001250,Canadian Non-Profit Making,ASSOCIATIONS,America,CA,0.1,Education policy and administrative management,0.25,8448.025
2009/2010,0.8,S6218,0,Responsive,CA,Civil Society,11420,0,Canadian Bureau for International Education,Canada,1,0,Governance & Human Rights,0,0,0,0,1,0,0,0,0,2,1001250,Canadian Non-Profit Making,ASSOCIATIONS,America,CA,0.1,Higher education,0.3,10137.63
2009/2010,0.8,S6218,0,Responsive,CA,Civil Society,15150,0,Canadian Bureau for International Education,Canada,1,0,Governance & Human Rights,0,0,0,0,1,0,0,0,0,2,1001250,Canadian Non-Profit Making,ASSOCIATIONS,America,CA,0.1,Democratic participation and civil society,0.35,11827.235
2009/2010,0.8,S6218,0,Responsive,CA,Civil Society,99820,0,Canadian Bureau for International Education,Canada,1,0,Governance & Human Rights,0,0,0,0,1,0,0,0,0,2,1001250,Canadian Non-Profit Making,ASSOCIATIONS,America,CA,0.1,Promotion of development awareness,0.1,3379.21
2009/2010,0.8,S6218,0,Responsive,ET,Civil Society,11110,0,Canadian Bureau for International Education,Ethiopia,2,0,Governance & Human Rights,0,0,0,0,1,0,0,0,0,2,1001250,Canadian Non-Profit Making,ASSOCIATIONS,Africa,ET,0.225,Education policy and administrative management,0.25,19008.05625
2009/2010,0.8,S6218,0,Responsive,ET,Civil Society,11420,0,Canadian Bureau for International Education,Ethiopia,2,0,Governance & Human Rights,0,0,0,0,1,0,0,0,0,2,1001250,Canadian Non-Profit Making,ASSOCIATIONS,Africa,ET,0.225,Higher education,0.3,22809.6675
2009/2010,0.8,S6218,0,Responsive,ET,Civil Society,15150,0,Canadian Bureau for International Education,Ethiopia,2,0,Governance & Human Rights,0,0,0,0,1,0,0,0,0,2,1001250,Canadian Non-Profit Making,ASSOCIATIONS,Africa,ET,0.225,Democratic participation and civil society,0.35,26611.27875
2009/2010,0.8,S6218,0,Responsive,ET,Civil Society,99820,0,Canadian Bureau for International Education,Ethiopia,2,0,Governance & Human Rights,0,0,0,0,1,0,0,0,0,2,1001250,Canadian Non-Profit Making,ASSOCIATIONS,Africa,ET,0.225,Promotion of development awareness,0.1,7603.2225
2009/2010,0.8,S6218,0,Responsive,GH,Civil Society,11110,0,Canadian Bureau for International Education,Ghana,2,0,Governance & Human Rights,0,0,0,0,1,0,0,0,0,2,1001250,Canadian Non-Profit Making,ASSOCIATIONS,Africa,GH,0.225,Education policy and administrative management,0.25,19008.05625
2009/2010,0.8,S6218,0,Responsive,GH,Civil Society,11420,0,Canadian Bureau for International Education,Ghana,2,0,Governance & Human Rights,0,0,0,0,1,0,0,0,0,2,1001250,Canadian Non-Profit Making,ASSOCIATIONS,Africa,GH,0.225,Higher education,0.3,22809.6675
2009/2010,0.8,S6218,0,Responsive,GH,Civil Society,15150,0,Canadian Bureau for International Education,Ghana,2,0,Governance & Human Rights,0,0,0,0,1,0,0,0,0,2,1001250,Canadian Non-Profit Making,ASSOCIATIONS,Africa,GH,0.225,Democratic participation and civil society,0.35,26611.27875
2009/2010,0.8,S6218,0,Responsive,GH,Civil Society,99820,0,Canadian Bureau for International Education,Ghana,2,0,Governance & Human Rights,0,0,0,0,1,0,0,0,0,2,1001250,Canadian Non-Profit Making,ASSOCIATIONS,Africa,GH,0.225,Promotion of development awareness,0.1,7603.2225
2009/2010,0.8,S6218,0,Responsive,ML,Civil Society,11110,0,Canadian Bureau for International Education,Mali,2,0,Governance & Human Rights,0,0,0,0,1,0,0,0,0,2,1001250,Canadian Non-Profit Making,ASSOCIATIONS,Africa,ML,0.225,Education policy and administrative management,0.25,19008.05625
2009/2010,0.8,S6218,0,Responsive,ML,Civil Society,11420,0,Canadian Bureau for International Education,Mali,2,0,Governance & Human Rights,0,0,0,0,1,0,0,0,0,2,1001250,Canadian Non-Profit Making,ASSOCIATIONS,Africa,ML,0.225,Higher education,0.3,22809.6675
2009/2010,0.8,S6218,0,Responsive,ML,Civil Society,15150,0,Canadian Bureau for International Education,Mali,2,0,Governance & Human Rights,0,0,0,0,1,0,0,0,0,2,1001250,Canadian Non-Profit Making,ASSOCIATIONS,Africa,ML,0.225,Democratic participation and civil society,0.35,26611.27875
2009/2010,0.8,S6218,0,Responsive,ML,Civil Society,99820,0,Canadian Bureau for International Education,Mali,2,0,Governance & Human Rights,0,0,0,0,1,0,0,0,0,2,1001250,Canadian Non-Profit Making,ASSOCIATIONS,Africa,ML,0.225,Promotion of development awareness,0.1,7603.2225
2009/2010,0.8,S6218,0,Responsive,SN,Civil Society,11110,0,Canadian Bureau for International Education,Senegal,2,0,Governance & Human Rights,0,0,0,0,1,0,0,0,0,2,1001250,Canadian Non-Profit Making,ASSOCIATIONS,Africa,SN,0.225,Education policy and administrative management,0.25,19008.05625
2009/2010,0.8,S6218,0,Responsive,SN,Civil Society,11420,0,Canadian Bureau for International Education,Senegal,2,0,Governance & Human Rights,0,0,0,0,1,0,0,0,0,2,1001250,Canadian Non-Profit Making,ASSOCIATIONS,Africa,SN,0.225,Higher education,0.3,22809.6675
2009/2010,0.8,S6218,0,Responsive,SN,Civil Society,15150,0,Canadian Bureau for International Education,Senegal,2,0,Governance & Human Rights,0,0,0,0,1,0,0,0,0,2,1001250,Canadian Non-Profit Making,ASSOCIATIONS,Africa,SN,0.225,Democratic participation and civil society,0.35,26611.27875
2009/2010,0.8,S6218,0,Responsive,SN,Civil Society,99820,0,Canadian Bureau for International Education,Senegal,2,0,Governance & Human Rights,0,0,0,0,1,0,0,0,0,2,1001250,Canadian Non-Profit Making,ASSOCIATIONS,Africa,SN,0.225,Promotion of development awareness,0.1,7603.2225
2009/2010,1.0,S6213,0,Responsive,CM,Civil Society,11120,0,Fondation Crudem,Cameroon,2,0,Education,0,0,0,0,0,0,0,0,0,2,1001341,Canadian Non-Profit Making,NGO,Africa,CM,0.33,Education facilities and training,0.8759,28904.7
2009/2010,1.0,S6213,0,Responsive,CM,Civil Society,11230,0,Fondation Crudem,Cameroon,2,0,Education,0,0,0,0,0,0,0,0,0,2,1001341,Canadian Non-Profit Making,NGO,Africa,CM,0.33,Basic life skills for youth and adults,0.0359,1184.7
2009/2010,1.0,S6213,0,Responsive,CM,Civil Society,12220,0,Fondation Crudem,Cameroon,2,0,Education,0,0,0,0,0,0,0,0,0,2,1001341,Canadian Non-Profit Making,NGO,Africa,CM,0.33,Basic health care,0.0209,689.7
2009/2010,1.0,S6213,0,Responsive,CM,Civil Society,12240,0,Fondation Crudem,Cameroon,2,0,Education,0,0,0,0,0,0,0,0,0,2,1001341,Canadian Non-Profit Making,NGO,Africa,CM,0.33,Basic nutrition,0.0065,214.5
2009/2010,1.0,S6213,0,Responsive,CM,Civil Society,14031,0,Fondation Crudem,Cameroon,2,0,Education,0,0,0,0,0,0,0,0,0,2,1001341,Canadian Non-Profit Making,NGO,Africa,CM,0.33,Basic drinking water supply,0.0108,356.4
2009/2010,1.0,S6213,0,Responsive,CM,Civil Society,14032,0,Fondation Crudem,Cameroon,2,0,Education,0,0,0,0,0,0,0,0,0,2,1001341,Canadian Non-Profit Making,NGO,Africa,CM,0.33,Basic sanitation,0.0109,359.7
2009/2010,1.0,S6213,0,Responsive,CM,Civil Society,31194,0,Fondation Crudem,Cameroon,2,0,Education,0,0,0,0,0,0,0,0,0,2,1001341,Canadian Non-Profit Making,NGO,Africa,CM,0.33,Agricultural co-operatives,0.0391,1290.3
2009/2010,1.0,S6213,0,Responsive,HT,Civil Society,11120,0,Fondation Crudem,Haiti,1,0,Education,0,0,0,0,0,0,0,0,0,2,1001341,Canadian Non-Profit Making,NGO,America,HT,0.34,Education facilities and training,0.8759,29780.6
2009/2010,1.0,S6213,0,Responsive,HT,Civil Society,11230,0,Fondation Crudem,Haiti,1,0,Education,0,0,0,0,0,0,0,0,0,2,1001341,Canadian Non-Profit Making,NGO,America,HT,0.34,Basic life skills for youth and adults,0.0359,1220.6
2009/2010,1.0,S6213,0,Responsive,HT,Civil Society,12220,0,Fondation Crudem,Haiti,1,0,Education,0,0,0,0,0,0,0,0,0,2,1001341,Canadian Non-Profit Making,NGO,America,HT,0.34,Basic health care,0.0209,710.6
2009/2010,1.0,S6213,0,Responsive,HT,Civil Society,12240,0,Fondation Crudem,Haiti,1,0,Education,0,0,0,0,0,0,0,0,0,2,1001341,Canadian Non-Profit Making,NGO,America,HT,0.34,Basic nutrition,0.0065,221.0
2009/2010,1.0,S6213,0,Responsive,HT,Civil Society,14031,0,Fondation Crudem,Haiti,1,0,Education,0,0,0,0,0,0,0,0,0,2,1001341,Canadian Non-Profit Making,NGO,America,HT,0.34,Basic drinking water supply,0.0108,367.2
2009/2010,1.0,S6213,0,Responsive,HT,Civil Society,14032,0,Fondation Crudem,Haiti,1,0,Education,0,0,0,0,0,0,0,0,0,2,1001341,Canadian Non-Profit Making,NGO,America,HT,0.34,Basic sanitation,0.0109,370.6
2009/2010,1.0,S6213,0,Responsive,HT,Civil Society,31194,0,Fondation Crudem,Haiti,1,0,Education,0,0,0,0,0,0,0,0,0,2,1001341,Canadian Non-Profit Making,NGO,America,HT,0.34,Agricultural co-operatives,0.0391,1329.4
2009/2010,1.0,S6213,0,Responsive,ML,Civil Society,11120,0,Fondation Crudem,Mali,2,0,Education,0,0,0,0,0,0,0,0,0,2,1001341,Canadian Non-Profit Making,NGO,Africa,ML,0.33,Education facilities and training,0.8759,28904.7
2009/2010,1.0,S6213,0,Responsive,ML,Civil Society,11230,0,Fondation Crudem,Mali,2,0,Education,0,0,0,0,0,0,0,0,0,2,1001341,Canadian Non-Profit Making,NGO,Africa,ML,0.33,Basic life skills for youth and adults,0.0359,1184.7
2009/2010,1.0,S6213,0,Responsive,ML,Civil Society,12220,0,Fondation Crudem,Mali,2,0,Education,0,0,0,0,0,0,0,0,0,2,1001341,Canadian Non-Profit Making,NGO,Africa,ML,0.33,Basic health care,0.0209,689.7
2009/2010,1.0,S6213,0,Responsive,ML,Civil Society,12240,0,Fondation Crudem,Mali,2,0,Education,0,0,0,0,0,0,0,0,0,2,1001341,Canadian Non-Profit Making,NGO,Africa,ML,0.33,Basic nutrition,0.0065,214.5
2009/2010,1.0,S6213,0,Responsive,ML,Civil Society,14031,0,Fondation Crudem,Mali,2,0,Education,0,0,0,0,0,0,0,0,0,2,1001341,Canadian Non-Profit Making,NGO,Africa,ML,0.33,Basic drinking water supply,0.0108,356.4
2009/2010,1.0,S6213,0,Responsive,ML,Civil Society,14032,0,Fondation Crudem,Mali,2,0,Education,0,0,0,0,0,0,0,0,0,2,1001341,Canadian Non-Profit Making,NGO,Africa,ML,0.33,Basic sanitation,0.0109,359.7
2009/2010,1.0,S6213,0,Responsive,ML,Civil Society,31194,0,Fondation Crudem,Mali,2,0,Education,0,0,0,0,0,0,0,0,0,2,1001341,Canadian Non-Profit Making,NGO,Africa,ML,0.33,Agricultural co-operatives,0.0391,1290.3
2009/2010,0.9,S6213,0,Responsive,AF,Civil Society,11220,0,Save the Children Canada,Afghanistan,3,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,Asia,AF,0.06,Primary education,0.2,27855.798839999996
2009/2010,0.9,S6213,0,Responsive,AF,Civil Society,11230,0,Save the Children Canada,Afghanistan,3,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,Asia,AF,0.06,Basic life skills for youth and adults,0.2,27855.798839999996
2009/2010,0.9,S6213,0,Responsive,AF,Civil Society,13040,0,Save the Children Canada,Afghanistan,3,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,Asia,AF,0.06,STD control including HIV/AIDS,0.1,13927.899419999998
2009/2010,0.9,S6213,0,Responsive,AF,Civil Society,15150,0,Save the Children Canada,Afghanistan,3,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,Asia,AF,0.06,Democratic participation and civil society,0.15,20891.849130000002
2009/2010,0.9,S6213,0,Responsive,AF,Civil Society,15160,0,Save the Children Canada,Afghanistan,3,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,Asia,AF,0.06,Human rights,0.15,20891.849130000002
2009/2010,0.9,S6213,0,Responsive,AF,Civil Society,16010,0,Save the Children Canada,Afghanistan,3,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,Asia,AF,0.06,Social/welfare services,0.1,13927.899419999998
2009/2010,0.9,S6213,0,Responsive,AF,Civil Society,99820,0,Save the Children Canada,Afghanistan,3,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,Asia,AF,0.06,Promotion of development awareness,0.1,13927.899419999998
2009/2010,0.9,S6213,0,Responsive,BF,Civil Society,11220,0,Save the Children Canada,Burkina-Faso,2,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,Africa,BF,0.075,Primary education,0.2,34819.74855
2009/2010,0.9,S6213,0,Responsive,BF,Civil Society,11230,0,Save the Children Canada,Burkina-Faso,2,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,Africa,BF,0.075,Basic life skills for youth and adults,0.2,34819.74855
2009/2010,0.9,S6213,0,Responsive,BF,Civil Society,13040,0,Save the Children Canada,Burkina-Faso,2,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,Africa,BF,0.075,STD control including HIV/AIDS,0.1,17409.87428
2009/2010,0.9,S6213,0,Responsive,BF,Civil Society,15150,0,Save the Children Canada,Burkina-Faso,2,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,Africa,BF,0.075,Democratic participation and civil society,0.15,26114.81141
2009/2010,0.9,S6213,0,Responsive,BF,Civil Society,15160,0,Save the Children Canada,Burkina-Faso,2,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,Africa,BF,0.075,Human rights,0.15,26114.81141
2009/2010,0.9,S6213,0,Responsive,BF,Civil Society,16010,0,Save the Children Canada,Burkina-Faso,2,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,Africa,BF,0.075,Social/welfare services,0.1,17409.87428
2009/2010,0.9,S6213,0,Responsive,BF,Civil Society,99820,0,Save the Children Canada,Burkina-Faso,2,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,Africa,BF,0.075,Promotion of development awareness,0.1,17409.87428
2009/2010,0.9,S6213,0,Responsive,BO,Civil Society,11220,0,Save the Children Canada,Bolivia,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,BO,0.16,Primary education,0.2,74282.13024
2009/2010,0.9,S6213,0,Responsive,BO,Civil Society,11230,0,Save the Children Canada,Bolivia,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,BO,0.16,Basic life skills for youth and adults,0.2,74282.13024
2009/2010,0.9,S6213,0,Responsive,BO,Civil Society,13040,0,Save the Children Canada,Bolivia,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,BO,0.16,STD control including HIV/AIDS,0.1,37141.06512
2009/2010,0.9,S6213,0,Responsive,BO,Civil Society,15150,0,Save the Children Canada,Bolivia,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,BO,0.16,Democratic participation and civil society,0.15,55711.59767999999
2009/2010,0.9,S6213,0,Responsive,BO,Civil Society,15160,0,Save the Children Canada,Bolivia,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,BO,0.16,Human rights,0.15,55711.59767999999
2009/2010,0.9,S6213,0,Responsive,BO,Civil Society,16010,0,Save the Children Canada,Bolivia,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,BO,0.16,Social/welfare services,0.1,37141.06512
2009/2010,0.9,S6213,0,Responsive,BO,Civil Society,99820,0,Save the Children Canada,Bolivia,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,BO,0.16,Promotion of development awareness,0.1,37141.06512
2009/2010,0.9,S6213,0,Responsive,CA,Civil Society,11220,0,Save the Children Canada,Canada,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,CA,0.1,Primary education,0.2,46426.3314
2009/2010,0.9,S6213,0,Responsive,CA,Civil Society,11230,0,Save the Children Canada,Canada,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,CA,0.1,Basic life skills for youth and adults,0.2,46426.3314
2009/2010,0.9,S6213,0,Responsive,CA,Civil Society,13040,0,Save the Children Canada,Canada,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,CA,0.1,STD control including HIV/AIDS,0.1,23213.1657
2009/2010,0.9,S6213,0,Responsive,CA,Civil Society,15150,0,Save the Children Canada,Canada,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,CA,0.1,Democratic participation and civil society,0.15,34819.74855
2009/2010,0.9,S6213,0,Responsive,CA,Civil Society,15160,0,Save the Children Canada,Canada,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,CA,0.1,Human rights,0.15,34819.74855
2009/2010,0.9,S6213,0,Responsive,CA,Civil Society,16010,0,Save the Children Canada,Canada,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,CA,0.1,Social/welfare services,0.1,23213.1657
2009/2010,0.9,S6213,0,Responsive,CA,Civil Society,99820,0,Save the Children Canada,Canada,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,CA,0.1,Promotion of development awareness,0.1,23213.1657
2009/2010,0.9,S6213,0,Responsive,CO,Civil Society,11220,0,Save the Children Canada,Colombia,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,CO,0.08,Primary education,0.2,37141.06512
2009/2010,0.9,S6213,0,Responsive,CO,Civil Society,11230,0,Save the Children Canada,Colombia,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,CO,0.08,Basic life skills for youth and adults,0.2,37141.06512
2009/2010,0.9,S6213,0,Responsive,CO,Civil Society,13040,0,Save the Children Canada,Colombia,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,CO,0.08,STD control including HIV/AIDS,0.1,18570.53256
2009/2010,0.9,S6213,0,Responsive,CO,Civil Society,15150,0,Save the Children Canada,Colombia,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,CO,0.08,Democratic participation and civil society,0.15,27855.798839999996
2009/2010,0.9,S6213,0,Responsive,CO,Civil Society,15160,0,Save the Children Canada,Colombia,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,CO,0.08,Human rights,0.15,27855.798839999996
2009/2010,0.9,S6213,0,Responsive,CO,Civil Society,16010,0,Save the Children Canada,Colombia,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,CO,0.08,Social/welfare services,0.1,18570.53256
2009/2010,0.9,S6213,0,Responsive,CO,Civil Society,99820,0,Save the Children Canada,Colombia,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,CO,0.08,Promotion of development awareness,0.1,18570.53256
2009/2010,0.9,S6213,0,Responsive,HT,Civil Society,11220,0,Save the Children Canada,Haiti,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,HT,0.12,Primary education,0.2,55711.59767999999
2009/2010,0.9,S6213,0,Responsive,HT,Civil Society,11230,0,Save the Children Canada,Haiti,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,HT,0.12,Basic life skills for youth and adults,0.2,55711.59767999999
2009/2010,0.9,S6213,0,Responsive,HT,Civil Society,13040,0,Save the Children Canada,Haiti,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,HT,0.12,STD control including HIV/AIDS,0.1,27855.798839999996
2009/2010,0.9,S6213,0,Responsive,HT,Civil Society,15150,0,Save the Children Canada,Haiti,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,HT,0.12,Democratic participation and civil society,0.15,41783.698260000005
2009/2010,0.9,S6213,0,Responsive,HT,Civil Society,15160,0,Save the Children Canada,Haiti,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,HT,0.12,Human rights,0.15,41783.698260000005
2009/2010,0.9,S6213,0,Responsive,HT,Civil Society,16010,0,Save the Children Canada,Haiti,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,HT,0.12,Social/welfare services,0.1,27855.798839999996
2009/2010,0.9,S6213,0,Responsive,HT,Civil Society,99820,0,Save the Children Canada,Haiti,1,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,America,HT,0.12,Promotion of development awareness,0.1,27855.798839999996
2009/2010,0.9,S6213,0,Responsive,KE,Civil Society,11220,0,Save the Children Canada,Kenya,2,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,Africa,KE,0.12,Primary education,0.2,55711.59767999999
2009/2010,0.9,S6213,0,Responsive,KE,Civil Society,11230,0,Save the Children Canada,Kenya,2,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,Africa,KE,0.12,Basic life skills for youth and adults,0.2,55711.59767999999
2009/2010,0.9,S6213,0,Responsive,KE,Civil Society,13040,0,Save the Children Canada,Kenya,2,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,Africa,KE,0.12,STD control including HIV/AIDS,0.1,27855.798839999996
2009/2010,0.9,S6213,0,Responsive,KE,Civil Society,15150,0,Save the Children Canada,Kenya,2,0,Education,0,0,0,1,1,0,0,0,0,0,1000285,Canadian Non-Profit Making,INTERNATIONAL NGO,Africa,KE,0.12,Democratic participation and civil society,0.15,41783.698260000005
