assay_id,assay_tax_id,chembl_id,variant_id,tid,assay_type,assay_organism,curated_by,assay_subcellular_fraction,assay_cell_type,description,assay_category,relationship_type,confidence_score,doc_id,tissue_id,assay_test_type,assay_strain,assay_tissue
4593,9606.0,CHEMBL619141,,81034,F,Homo sapiens,Intermediate,,A2780,cytotoxic activity toward A2780 ovarian human cell line sensitive (S) to cisplatin,,N,1,15608,,,,
4594,9606.0,CHEMBL619142,,81034,F,Homo sapiens,Intermediate,,A2780,cytotoxic activity toward A2780 ovarian human cell line sensitive (S) to cisplatin in experiment 1,,N,1,15608,,,,
4595,9606.0,CHEMBL619143,,81034,F,Homo sapiens,Intermediate,,A2780,cytotoxic activity toward A2780 ovarian human cell line sensitive (S) to cisplatin in experiment 2,,N,1,15608,,,,
4596,9606.0,CHEMBL619144,,81034,F,Homo sapiens,Intermediate,,A2780,cytotoxic activity toward A2780 ovarian human cell line sensitive (S) to cisplatin in experiment 3,,N,1,15608,,,,
4597,9606.0,CHEMBL619145,,81034,F,Homo sapiens,Intermediate,,A2780,cytotoxic activity toward A2780 ovarian human cell line sensitive (S) to cisplatin in experiment 5,,N,1,15608,,,,
4598,9606.0,CHEMBL619146,,81034,F,Homo sapiens,Intermediate,,A2780,cytotoxic activity toward A2780 ovarian human cell line sensitive (S) to cisplatin in experiment 8,,N,1,15608,,,,
4599,9606.0,CHEMBL619147,,81034,F,Homo sapiens,Intermediate,,A2780,Cytotoxic activity in a panel of Human ovarian tumor A2780/CDDP cell line after 96h of drug exposure,,N,1,15569,,,,
4600,9606.0,CHEMBL619148,,81034,F,Homo sapiens,Intermediate,,A2780,Antiproliferative effect of compound on A2780/DX cell line,,N,1,17420,,,,
4601,9606.0,CHEMBL619149,,81034,F,Homo sapiens,Intermediate,,A2780,Antiproliferative effect of compound on A2780/DX cell line; n.d. indicates not determined,,N,1,17420,,,,
4602,9606.0,CHEMBL619150,,81034,F,Homo sapiens,Intermediate,,A2780,In vitro Cytotoxic activity of compound in comparison with reference compounds in human cell line A2780/DX(RI),,N,1,15099,,,,
4603,9606.0,CHEMBL619151,,81034,F,Homo sapiens,Intermediate,,A2780,In vitro Cytotoxic activity of compound in comparison with reference compounds in human cell line A2780/Dx(RI),,N,1,15099,,,,
4604,9606.0,CHEMBL883794,,81034,F,Homo sapiens,Intermediate,,A2780,Cytotoxicity against ovarian carcinoma A2780/cis tumor cell lines,,N,1,17672,,,,
4605,9606.0,CHEMBL619152,,81034,F,Homo sapiens,Intermediate,,A2780,Cytotoxicity against ovarian carcinoma A2780/cis90 tumor cell lines,,N,1,17672,,,,
4606,9606.0,CHEMBL619153,,81034,F,Homo sapiens,Intermediate,,A2780,In vitro cytotoxicity against A2780ADR cell line,,N,1,17270,,,,
4607,9606.0,CHEMBL619154,,81034,F,Homo sapiens,Intermediate,,A2780,In vitro cytotoxicity against A2780CIS cell line,,N,1,17270,,,,
4608,9606.0,CHEMBL619155,,81034,F,Homo sapiens,Intermediate,,A2780,In vitro cytotoxic activity against human tumor cell line A2780CisR after incubation for 96 hours,,N,1,5574,,,,
4609,9606.0,CHEMBL619156,,81034,F,Homo sapiens,Intermediate,,A2780,The compound was tested for cytotoxic potency against A2780R human tumor cell lines.,,N,1,2113,,,,
4610,9606.0,CHEMBL619157,,81034,F,Homo sapiens,Intermediate,,A2780,"Inhibitory effect of Gold(III) complex, 2,2' bipy on growth of cisplatin-resistant A2780/R human tumor cell lines",,N,1,16913,,,,
4611,9606.0,CHEMBL619797,,81034,F,Homo sapiens,Intermediate,,A2780,"Inhibitory effect of Gold(III) complex, CDDP on growth of cisplatin-resistant A2780/R human tumor cell lines",,N,1,16913,,,,
4612,9544.0,CHEMBL619798,,22224,A,Macaca mulatta,Autocuration,,,Oral bioavailability of compound in rhesus macaques,,U,0,17839,,In vivo,,
4613,9443.0,CHEMBL619799,,22224,A,monkey,Autocuration,,,Oral bioavailability in monkey,,U,0,6821,,In vivo,,
4614,9443.0,CHEMBL619800,,22224,A,monkey,Autocuration,,,Oral bioavailability evaluated in monkey,,U,0,6078,,In vivo,,
4615,9443.0,CHEMBL619801,,22224,A,monkey,Autocuration,,,Oral bioavailability in monkey (dose 1 mg/kg p.o.),,U,0,6535,,In vivo,,
4616,9544.0,CHEMBL619802,,22224,A,Macaca mulatta,Autocuration,,,Oral bioavailability in Rhesus monkey,,U,0,4449,,In vivo,,
4617,9544.0,CHEMBL619803,,22224,A,Macaca mulatta,Autocuration,,,Oral bioavailability was calculated in rhesus monkey,,U,0,6057,,In vivo,,
4618,9541.0,CHEMBL619965,,22224,A,Macaca fascicularis,Autocuration,,,Oral bioavailability in cynomolgus monkey,,U,0,5922,,In vivo,,
4619,9443.0,CHEMBL619966,,22224,A,monkey,Autocuration,,,Oral bioavailability in monkey,,U,0,5940,,In vivo,,
4620,9443.0,CHEMBL619967,,22224,A,monkey,Autocuration,,,Oral bioavailability in monkey,,U,0,6265,,In vivo,,
4621,9443.0,CHEMBL620073,,22224,A,monkey,Autocuration,,,Oral bioavailability in monkey (dose 1 mg/kg),,U,0,6265,,In vivo,,
4622,9443.0,CHEMBL620074,,22224,A,monkey,Autocuration,,,Oral bioavailability in monkey (dose 5 mg/kg),,U,0,6265,,In vivo,,
4623,9443.0,CHEMBL620075,,22224,A,monkey,Autocuration,,,Oral bioavailability in monkey,,U,0,5940,,In vivo,,
4624,9443.0,CHEMBL620076,,22224,A,monkey,Autocuration,,,Oral bioavailability in monkey,,U,0,5940,,In vivo,,
4625,9544.0,CHEMBL620077,,22224,A,Macaca mulatta,Autocuration,,,Oral bioavailability in rhesus monkey,,U,0,4514,,In vivo,,
4626,9544.0,CHEMBL620078,,22224,A,Macaca mulatta,Autocuration,,,Oral bioavailability in rhesus monkey at a dose of 2 mg/kg by po administration,,U,0,5546,,In vivo,,
4627,9521.0,CHEMBL620079,,22224,A,Saimiri sciureus,Autocuration,,,Oral bioavailability in squirrel monkey at a dose of 10 mg/kg,,U,0,5553,,In vivo,,
4628,9443.0,CHEMBL620080,,22224,A,monkey,Autocuration,,,Oral bioavailability in monkey (dosed at 0.5 mpk iv and 2.0 mpk orally),,U,0,6641,,In vivo,,
4629,9544.0,CHEMBL620081,,22224,A,Macaca mulatta,Autocuration,,,Oral bioavailability in Rhesus monkey,,U,0,5472,,In vivo,,
4630,9544.0,CHEMBL620082,,22224,A,Macaca mulatta,Autocuration,,,Oral bioavailability in Rhesus monkey (dose 10 mg/kg p.o.),,U,0,5668,,In vivo,,
4631,9443.0,CHEMBL620083,,22224,A,monkey,Autocuration,,,Oral bioavailability in monkey at 10 mg/kg of the compound,,U,0,5711,,In vivo,,
4632,9544.0,CHEMBL620084,,22224,A,Macaca mulatta,Autocuration,,,Bioavailability in Rhesus monkey,,U,0,5145,,In vivo,,
4633,9527.0,CHEMBL620085,,22224,A,Cercopithecidae,Autocuration,,,Glomerular Filtration Rate(GFR) evaluated in Rhesus monkeys at the dose of 10 mg/kg by iv bolus injection,,U,0,3443,,,,
4634,9527.0,CHEMBL874595,,22224,A,Cercopithecidae,Autocuration,,,Glomerular Filtration Rate(GFR)of the compound compared to Cilastatin evaluated in Rhesus monkeys at the dose of 10 mg/kg by iv bolus injection,,U,0,3443,,,,
4635,9527.0,CHEMBL873352,,22224,A,Cercopithecidae,Autocuration,,,Half life by ''Cr'' assay in rhesus monkey at a dose of 5 mg/kg,,U,0,3249,,In vivo,,
4636,9527.0,CHEMBL620086,,22224,A,Cercopithecidae,Autocuration,,,Half life the of compound was determined by ''Cr'' assay in squirrel monkey at a dose of 5 mg/kg,,U,0,3249,,In vivo,,
4637,9527.0,CHEMBL620087,,22224,A,Cercopithecidae,Autocuration,,,Mean residence time was determined after intravenous administration in cynomolgus monkeys,,U,0,5355,,In vivo,,
4638,9527.0,CHEMBL620088,,22224,A,Cercopithecidae,Autocuration,,,Mean residence time was determined after oral administration in cynomolgus monkeys; NA means Not applicable,,U,0,5355,,In vivo,,
4639,9527.0,CHEMBL620089,,22224,A,Cercopithecidae,Autocuration,,,Mean residence time was determined after oral administration in cynomolgus monkeys; NA means not applicable,,U,0,5355,,In vivo,,
4640,9527.0,CHEMBL620090,,22224,A,Cercopithecidae,Autocuration,,,Pharmacokinetic parameter MRT was determined in monkey after (iv) administration of a dose of 13 (uM/kg),,U,0,4809,,In vivo,,
4641,9527.0,CHEMBL620091,,22224,A,Cercopithecidae,Autocuration,,,Pharmacokinetic parameter MRT was determined in monkey after (po) administration of a dose of 50 (uM/kg),,U,0,4809,,In vivo,,
4642,9527.0,CHEMBL620092,,22224,A,Cercopithecidae,Autocuration,Microsomes,,Metabolism of compound in monkey S9 microsomes ('+''indicates <20% largest observed peak),,U,0,14294,,,,
4643,9527.0,CHEMBL620093,,22224,A,Cercopithecidae,Autocuration,Microsomes,,Metabolism of compound in monkey S9 microsomes ('++''indicates 20-50% largest observed peak),,U,0,14294,,,,
4644,9527.0,CHEMBL620094,,22224,A,Cercopithecidae,Autocuration,Microsomes,,Metabolism of compound in monkey S9 microsomes ('+++'indicates 50-80% largest observed peak),,U,0,14294,,,,
4645,9527.0,CHEMBL620095,,22224,A,Cercopithecidae,Autocuration,Microsomes,,Metabolism of compound in monkey S9 microsomes ('++++' indicates largest observed peak),,U,0,14294,,,,
4646,9527.0,CHEMBL620096,,22224,A,Cercopithecidae,Autocuration,,,Plasma clearance evaluated in Rhesus monkeys at the dose of 10 mg/kg by iv bolus injection,,U,0,3443,,In vivo,,
4647,9527.0,CHEMBL620097,,22224,A,Cercopithecidae,Autocuration,,,Plasma clearance compared to Cilastatin evaluated in Rhesus monkeys at the dose of 10 mg/kg by iv bolus injection,,U,0,3443,,In vivo,,
4648,9527.0,CHEMBL620098,,22224,A,Cercopithecidae,Autocuration,,,Clearance from plasma(with matabolite-corrected plasma radioactivity-time integral) at 30 min after administration.,,U,0,11271,,,,
4649,9527.0,CHEMBL620099,,22224,A,Cercopithecidae,Autocuration,,,Renal clearance evaluated in Rhesus monkeys at the dose of 10 mg/kg by iv bolus injection,,U,0,3443,,,,
4650,9527.0,CHEMBL620100,,22224,A,Cercopithecidae,Autocuration,,,Renal clearance compared to Cilastatin evaluated in Rhesus monkeys at the dose of 10 mg/kg by iv bolus injection,,U,0,3443,,,,
4651,9527.0,CHEMBL620101,,22224,A,Cercopithecidae,Autocuration,,,Elimination Half-life of compound was determined in monkey,,U,0,6821,,,,
4652,9527.0,CHEMBL620102,,22224,A,Cercopithecidae,Autocuration,,,Half life of compound was determined in rhesus monkey,,U,0,17267,,,,
4653,9527.0,CHEMBL620103,,22224,A,Cercopithecidae,Autocuration,,,Half life in monkey plasma,,U,0,5819,1969.0,,,Plasma
4654,9527.0,CHEMBL620104,,22224,A,Cercopithecidae,Autocuration,,,Half life in monkey plasma; Not detected,,U,0,5819,1969.0,,,Plasma
4655,9527.0,CHEMBL874596,,22224,A,Cercopithecidae,Autocuration,,,Half life period was evaluated against Cynomolgus monkey at a dose of 15 mg/kg after po administration,,U,0,1916,,In vivo,,
4656,9527.0,CHEMBL873490,,22224,A,Cercopithecidae,Autocuration,,,Half-life 24 hr after 2 mg/kg iv administration in monkeys,,U,0,17509,,In vivo,,
4657,9527.0,CHEMBL620105,,22224,A,Cercopithecidae,Autocuration,,,Terminal half life of the compound.,,U,0,1399,,,,
4658,9527.0,CHEMBL620780,,22224,A,Cercopithecidae,Autocuration,,,Maximum time was evaluated against Cynomolgus monkey at a dose of 15 mg/kg after po administration,,U,0,1916,,In vivo,,
4659,9527.0,CHEMBL620781,,22224,A,Cercopithecidae,Autocuration,,,Pharmacokinetic parameter Tmax was determined in monkey after (po) administration of a dose of 50 (uM/kg),,U,0,4809,,In vivo,,
4660,9527.0,CHEMBL620956,,22224,A,Cercopithecidae,Autocuration,,,Unbound plasma was determined in rhesus monkey at a dose of 1 mg/kg by iv administration,,U,0,5546,,,,
4661,9527.0,CHEMBL620957,,22224,A,Cercopithecidae,Autocuration,,,Urinary recovery evaluated in Rhesus monkeys at the dose of 10 mg/kg by iv bolus injection,,U,0,3443,1088.0,,,Urine
4662,9527.0,CHEMBL620958,,22224,A,Cercopithecidae,Autocuration,,,Urinary recovery compared to Cilastatin evaluated in Rhesus monkeys at the dose of 10 mg/kg by iv bolus injection,,U,0,3443,1088.0,,,Urine
4663,9527.0,CHEMBL620959,,22224,A,Cercopithecidae,Autocuration,,,Volume of distribution was determined in monkey after a 3 mg/kg of iv dose,,U,0,4257,,In vivo,,
4664,9527.0,CHEMBL620960,,22224,A,Cercopithecidae,Autocuration,,,Volume distribution after oral administration (2.5 mg/kg) in monkey was determined,,U,0,6221,,In vivo,,
4665,9527.0,CHEMBL620961,,22224,A,Cercopithecidae,Autocuration,,,Volume of distribution was evaluated in rhesus,,U,0,5472,,In vivo,,
4666,10029.0,CHEMBL620962,,22224,A,Cricetulus griseus,Autocuration,,,Plasma clearance was measured in hamster at the dose of 10 mg/kg by peroral administration,,U,0,4727,,In vivo,,
4667,10029.0,CHEMBL620963,,22224,A,Cricetulus griseus,Autocuration,,,Plasma clearance was measured in hamster at the dose of 3 mg/kg by intravenous administration,,U,0,4727,,In vivo,,
4668,10029.0,CHEMBL620964,,22224,A,Cricetulus griseus,Autocuration,,,Bioavailability in hamster was determined,,U,0,4727,,In vivo,,
4669,10029.0,CHEMBL620965,,22224,A,Cricetulus griseus,Autocuration,,,Bioavailability in hamster at a dose of 3 mg/kg by intravenous administration,,U,0,4727,,In vivo,,
4670,10029.0,CHEMBL620966,,22224,A,Cricetulus griseus,Autocuration,,,Bioavailability in hamster at a dose of 3 mg/kg by oral administration,,U,0,4727,,In vivo,,
4671,10029.0,CHEMBL620967,,22224,A,Cricetulus griseus,Autocuration,,,Half life of compound was determined in hamster blood,,U,0,4727,178.0,,,Blood
4672,9823.0,CHEMBL620968,,22224,A,Sus scrofa,Autocuration,,,Michaelis-Menten constant of the compound.,,U,0,1452,,,,
4673,9823.0,CHEMBL874597,,22224,A,Sus scrofa,Autocuration,,,Vmax value was measured at 0 uM concentration of silyl ether.,,U,0,1452,,,,
4674,9823.0,CHEMBL620969,,22224,A,Sus scrofa,Autocuration,,,Vmax value was measured at 10 uM concentration of silyl ether.,,U,0,1452,,,,
4675,9823.0,CHEMBL620970,,22224,A,Sus scrofa,Autocuration,,,Vmax value was measured at 5 uM concentration of silyl ether.,,U,0,1452,,,,
4676,9606.0,CHEMBL620971,,235,B,Homo sapiens,Expert,,,Inactivation of human leukocyte (neutrophil) elastase(HLE)(HNE) as rate constant,,D,9,11706,,,,
4677,9606.0,CHEMBL620972,,22224,A,Homo sapiens,Autocuration,,,Area under curve was evaluated against man at a dose of 10 mg/kg after po administration,,U,0,1916,,,,
4678,9606.0,CHEMBL620973,,22224,A,Homo sapiens,Autocuration,,,Compound was evaluated for area under the curve expressed as (h*ug/ml),,U,0,17791,,,,
4679,9606.0,CHEMBL618243,,22224,A,Homo sapiens,Autocuration,,,Active metabolite of ifosfamide determined in humans; A-Active,,U,0,7766,,,,
4680,9606.0,CHEMBL618244,,22224,A,Homo sapiens,Autocuration,,,Amount of tecadenoson present after 30 min in the liver S-9 assay as determined by mass specanalysis,,U,0,6567,,,,
4681,9606.0,CHEMBL618245,,22224,A,Homo sapiens,Autocuration,,,Amount of tecadenoson present after 30 min in the liver S-9 assay as determined by mass specanalysis; -0.5 to 1,,U,0,6567,,,,
4682,9606.0,CHEMBL618246,,22224,A,Homo sapiens,Autocuration,,,Amount of tecadenoson present after 30 min in the liver S-9 assay as determined by mass specanalysis; 1-2,,U,0,6567,,,,
4683,9606.0,CHEMBL618247,,22224,A,Homo sapiens,Autocuration,,,Amount of tecadenoson present after 30 min in the liver S-9 assay as determined by mass specanalysis; trace,,U,0,6567,,,,
4684,9606.0,CHEMBL618248,,22224,A,Homo sapiens,Autocuration,,,Compound was evaluated for oral bioavailability in human,,U,0,17791,,,,
4685,9606.0,CHEMBL618249,,22224,A,Homo sapiens,Autocuration,,,Metabolite of ifosfamide determined in urine; NF-Not found,,U,0,7766,1088.0,,,Urine
4686,9606.0,CHEMBL618250,,22224,A,Homo sapiens,Autocuration,,,Percent of compound in cirrhotic patients of spontaneous ascitic fluid infection (Group A and B),,U,0,6852,,,,
4687,9606.0,CHEMBL874598,,22224,A,Homo sapiens,Autocuration,,,Percent of compound in cirrhotic patients of spontaneous ascitic fluid infection after dosing with normal antibiotics,,U,0,6852,,,,
4688,9606.0,CHEMBL618251,,22224,A,Homo sapiens,Autocuration,,,Percent of compound in cirrhotic patients of spontaneous ascitic fluid infection after dosing with normal antibiotics and lactose,,U,0,6852,,,,
4689,9606.0,CHEMBL618252,,22224,A,Homo sapiens,Autocuration,,,Percent of compound in cirrhotic patients of spontaneous ascitic fluid infection before dosing with normal antibiotics,,U,0,6852,,,,
4690,9606.0,CHEMBL618253,,22224,A,Homo sapiens,Autocuration,,,Percent of compound in cirrhotic patients of spontaneous ascitic fluid infection before dosing with normal antibiotics and lactose,,U,0,6852,,,,
4691,9606.0,CHEMBL618254,,22224,A,Homo sapiens,Autocuration,,,Percent of compound in cirrhotic patients of sterile ascitic fluid (Group C),,U,0,6852,,,,
4692,9606.0,CHEMBL618255,,22224,A,Homo sapiens,Autocuration,,,Percent of compound in healthy individuals (Group D),,U,0,6852,,,,
4693,9606.0,CHEMBL618983,,22224,A,Homo sapiens,Autocuration,Microsomes,,Percent of the parent compound remaining after 20 mins incubation with human liver microsomes,,U,0,4397,2107.0,,,Liver
4694,9606.0,CHEMBL618984,,22224,A,Homo sapiens,Autocuration,,,Binding towards human plasma protein at 10 uM,,U,0,17409,,,,
4695,9606.0,CHEMBL618985,,22224,A,Homo sapiens,Autocuration,,,Binding towards human plasma protein at 100 uM,,U,0,17409,,,,
4696,9606.0,CHEMBL618986,,22224,A,Homo sapiens,Autocuration,,,Human plasma protein binding activity was determined,,U,0,17176,,,,
4697,9606.0,CHEMBL618987,,22224,A,Homo sapiens,Autocuration,,,The ability binding to plasma (Binding classified based on injection of compound at 80 concentration.),,U,0,15444,,,,
4698,9606.0,CHEMBL618988,,22224,A,Homo sapiens,Autocuration,,,Percent binding of compound towards human plasma protein was determined,,U,0,17267,,,,
4699,9606.0,CHEMBL618989,,22224,A,Homo sapiens,Autocuration,Microsomes,,Plasma clearance in human liver microsomes,,U,0,5944,2107.0,In vitro,,Liver
4700,9606.0,CHEMBL618990,,22224,A,Homo sapiens,Autocuration,Microsomes,,In vitro intrinsic clearance in human liver microsome,,U,0,5668,2107.0,In vitro,,Liver
4701,9606.0,CHEMBL618991,,22224,A,Homo sapiens,Autocuration,Microsomes,,In vitro intrinsic clearance in human liver microsome,,U,0,5669,2107.0,In vitro,,Liver
4702,9606.0,CHEMBL876725,,22224,A,Homo sapiens,Autocuration,Microsomes,,In vitro microsome metabolism clearance in human was determined,,U,0,5041,,In vitro,,
4703,9606.0,CHEMBL618992,,22224,A,Homo sapiens,Autocuration,Microsomes,,In vitro microsome metabolism clearance in human was determined; High,,U,0,5041,,In vitro,,
4704,9606.0,CHEMBL618993,,22224,A,Homo sapiens,Autocuration,Microsomes,,In vitro microsome metabolism clearance in human was determined; ND denotes no data,,U,0,5041,,In vitro,,
4705,9606.0,CHEMBL618994,,22224,A,Homo sapiens,Autocuration,Microsomes,,Pharmacokinetic property (clearance) in human liver microsome,,U,0,5676,2107.0,In vitro,,Liver
4706,9606.0,CHEMBL618995,,22224,A,Homo sapiens,Autocuration,Microsomes,,Plasma clearance in human liver microsomes,,U,0,5944,2107.0,In vitro,,Liver
4707,9606.0,CHEMBL618996,,22224,A,Homo sapiens,Autocuration,Microsomes,,In vitro clearance in human liver microsomes,,U,0,17538,2107.0,In vitro,,Liver
4708,9606.0,CHEMBL618997,,22224,A,Homo sapiens,Autocuration,Microsomes,,Intrinsic clearance in human liver microsomes was determined,,U,0,6331,2107.0,In vitro,,Liver
4709,9606.0,CHEMBL618998,,22224,A,Homo sapiens,Autocuration,Microsomes,,Intrinsic clearance in human liver microsomes was determined,,U,0,5948,2107.0,In vitro,,Liver
4710,9606.0,CHEMBL618999,,22224,A,Homo sapiens,Autocuration,,,Cmax (Tissue distribution) of compound was determined at a dose of 5 mg/kg in human,,U,0,5965,,In vivo,,
4711,9606.0,CHEMBL620223,,22224,A,Homo sapiens,Autocuration,,,Maximum concentration was evaluated against man at a dose of 10 mg/kg after po administration,,U,0,1916,,In vivo,,
4712,9606.0,CHEMBL620224,,22224,A,Homo sapiens,Autocuration,,,Cmin (Clearance) of compound was determined at a dose of 5 mg/kg in human,,U,0,5965,,,,
4713,9606.0,CHEMBL620225,,22224,A,Homo sapiens,Autocuration,,,Stability in human plasma 2 hr after incubation expressed as percent concentration,,U,0,1299,,,,
4714,9606.0,CHEMBL620226,,22224,A,Homo sapiens,Autocuration,,,Stability in human plasma 4 hr after incubation expressed as percent concentration,,U,0,1299,,,,
4715,9606.0,CHEMBL620227,,22224,A,Homo sapiens,Autocuration,,,Portion of holoxan excreted in the form of the metabolite from 1200 mL of urine on day 3 was determined in embryonal rhabdomyosarcoma patients treated with ifosfamide,,U,0,7766,1088.0,,,Urine
4716,9606.0,CHEMBL876726,,22224,A,Homo sapiens,Autocuration,,,Portion of holoxan excreted in the form of the metabolite from 1200 mL of urine on day 7 was determined in embryonal rhabdomyosarcoma patients treated with ifosfamide,,U,0,7766,1088.0,,,Urine
4717,9606.0,CHEMBL620228,,22224,A,Homo sapiens,Autocuration,,,Portion of holoxan excreted in the form of the metabolite from 1300 mL of urine on day 6 was determined in embryonal rhabdomyosarcoma patients treated with ifosfamide,,U,0,7766,1088.0,,,Urine
4718,9606.0,CHEMBL620229,,22224,A,Homo sapiens,Autocuration,,,Portion of holoxan excreted in the form of the metabolite from 1300 mL of urine on day 8 was determined in embryonal rhabdomyosarcoma patients treated with ifosfamide,,U,0,7766,1088.0,,,Urine
4719,10090.0,CHEMBL620230,,50594,F,Mus musculus,Intermediate,,,Mean-residence time was determined for compound after intraperitoneal administration in mice at 23 uM/kg,,N,1,17764,,In vivo,,
4720,10090.0,CHEMBL620231,,50594,F,Mus musculus,Intermediate,,,Mean-residence time was determined for compound after intraperitoneal administration in mice at 25 uM/kg,,N,1,17764,,In vivo,,
4721,10090.0,CHEMBL620232,,50594,F,Mus musculus,Intermediate,,,Mean-residence time was determined for compound after intraperitoneal administration in mice at 26 uM/kg,,N,1,17764,,In vivo,,
4722,10090.0,CHEMBL620233,,50594,F,Mus musculus,Intermediate,,,Mean-residence time was determined for compound intravenous administration in mice at 23 uM/kg,,N,1,17764,,In vivo,,
4723,10090.0,CHEMBL620234,,50594,A,Mus musculus,Intermediate,,,Metabolism of compound in Mouse S9 microsomes ('++++'indicates largest observed peak),,N,1,14294,,,,
4724,10090.0,CHEMBL620235,,50594,A,Mus musculus,Intermediate,,,Metabolism of compound in mouse S9 microsomes ('+''indicates <20% largest observed peak),,N,1,14294,,,,
4725,10090.0,CHEMBL620236,,50594,A,Mus musculus,Intermediate,,,Metabolism of compound in mouse S9 microsomes ('++++' indicates largest observed peak),,N,1,14294,,,,
4726,10090.0,CHEMBL620237,,50594,A,Mus musculus,Intermediate,,,In vitro metabolic potential in mouse liver microsomes,,N,1,6251,2107.0,,,Liver
4727,10090.0,CHEMBL620238,,50594,A,Mus musculus,Intermediate,,,Ability of compound to bind to plasma protein was evaluated in HSA cells,,N,1,17582,,,,
4728,10090.0,CHEMBL620239,,50594,A,Mus musculus,Intermediate,,,Compound was tested for radioactivity level in mice adrenal glands (Compound is radiolabeled),,N,1,17811,2369.0,,,Adrenal gland
4729,10090.0,CHEMBL620240,,50594,A,Mus musculus,Intermediate,,,Compound was tested for radioactivity level in mice brain (Compound is radiolabeled); 2.2-4.9% ID/g,,N,1,17811,955.0,,,Brain
4730,10090.0,CHEMBL620241,,50594,A,Mus musculus,Intermediate,,,Compound was tested for radioactivity level in mice brain (Compound is radiolabeled); 2.6-4.4% ID/g,,N,1,17811,955.0,,,Brain
4731,10090.0,CHEMBL876727,,50594,A,Mus musculus,Intermediate,,,Compound was tested for radioactivity level in mice heart (Compound is radiolabeled),,N,1,17811,,,,
4732,10090.0,CHEMBL620242,,50594,A,Mus musculus,Intermediate,,,Compound was tested for radioactivity level in mice kidney (Compound is radiolabeled),,N,1,17811,2113.0,,,Kidney
4733,10090.0,CHEMBL620243,,50594,A,Mus musculus,Intermediate,,,Compound was tested for radioactivity level in mice lungs (Compound is radiolabeled),,N,1,17811,,,,
4734,10090.0,CHEMBL620244,,50594,A,Mus musculus,Intermediate,,,Tested for urinary recovery in mice after subcutaneous administration of 20 mg/Kg,,N,1,5288,,,,
4735,10090.0,CHEMBL620245,,50594,A,Mus musculus,Intermediate,,,Compound was evaluated for its potency in CDF1 mice and the serum cholesterol levels were determined,,N,1,2717,1977.0,,,Serum
4736,10090.0,CHEMBL620246,,50594,A,Mus musculus,Intermediate,,,Compound was evaluated for its potency in CDF1 mice and the serum metabolite levels were determined,,N,1,2717,1977.0,,,Serum
4737,10090.0,CHEMBL620247,,50594,A,Mus musculus,Intermediate,,,Compound was evaluated for its potency in CDF1 mice and the serum triglyceride levels were determined,,N,1,2717,1977.0,,,Serum
4738,10090.0,CHEMBL620248,,50594,A,Mus musculus,Intermediate,,,Half life of compound was determined in plasma of mice at 24 mg/Kg,,N,1,17753,1969.0,In vivo,,Plasma
4739,10090.0,CHEMBL873497,,50594,A,Mus musculus,Intermediate,,,Half life of compound was determined in plasma of mice at 40 mg/Kg,,N,1,17753,1969.0,In vivo,,Plasma
4740,10090.0,CHEMBL620249,,50594,A,Mus musculus,Intermediate,,,Half life of compound was determined in plasma of mice at 5 mg/Kg,,N,1,17753,1969.0,In vivo,,Plasma
4741,10090.0,CHEMBL620250,,50594,F,Mus musculus,Intermediate,,,Half life after intraperitoneal administration in mice at 18 uM/kg,,N,1,17764,,In vivo,,
4742,10090.0,CHEMBL620251,,50594,F,Mus musculus,Intermediate,,,Half life after intraperitoneal administration in mice at 23 uM/kg,,N,1,17764,,In vivo,,
4743,10090.0,CHEMBL620252,,50594,F,Mus musculus,Intermediate,,,Half life after intraperitoneal administration in mice at 25 uM/kg,,N,1,17764,,In vivo,,
4744,10090.0,CHEMBL620253,,50594,F,Mus musculus,Intermediate,,,Half life after intraperitoneal administration in mice at 26 uM/kg,,N,1,17764,,In vivo,,
4745,10090.0,CHEMBL620254,,50594,F,Mus musculus,Intermediate,,,Half life after intravenous administration in mice at 23 uM/kg,,N,1,17764,,In vivo,,
4746,10090.0,CHEMBL620255,,50594,A,Mus musculus,Intermediate,,,Half life after intravenous administration in mice at 24 uM/kg,,N,1,17764,,In vivo,,
4747,10090.0,CHEMBL620256,,50594,A,Mus musculus,Intermediate,,,At a dose 50 mg/kg (114 umol/kg) was administered intraperitoneally to mice and was evaluated for T max,,N,1,16597,,In vivo,,
4748,10090.0,CHEMBL876728,,50594,A,Mus musculus,Intermediate,,,Maximum time required to reach Cp max was evaluated in mice after intravenous administration; T max Not determined,,N,1,2675,,In vivo,,
4749,10090.0,CHEMBL620257,,50594,A,Mus musculus,Intermediate,,,Maximum time required to reach Cp max was evaluated in mice after oral administration,,N,1,2675,,In vivo,,
4750,10090.0,CHEMBL620258,,50594,A,Mus musculus,Intermediate,,,At a dose 50 mg/kg (114 umol/kg) was administered intraperitoneally to mice and was evaluated for half life (T1/2),,N,1,16597,,In vivo,,
4751,10090.0,CHEMBL620259,,50594,A,Mus musculus,Intermediate,,,"Compound was evaluated for the pharmacokinetic parameter, Terminal half life period",,N,1,4890,,In vivo,,
4752,10090.0,CHEMBL620260,,50594,A,Mus musculus,Intermediate,,,Evaluated for pharmacokinetic parameter half-life in mouse at the dose 20 mg/kg,,N,1,429,,In vivo,,
