assays_ss_d,assays_td,assays_ss_ctgr,assays_ss_tst_tp,assays_cnfdnc_scr,assays_ss_strn,assays_rltnshp_tp,assays_ss_sbclllr_frctn,assays_ss_tss,assays_ss_cll_tp,assays_crtd_b,assays_dscrptn,assays_ss_tp,assays_src_d,assays_vrnt_d,assays_dc_d,assays_chmbl_d,assays_cll_d,assays_b_frmt,assays_tss_d
1774,10577,,,8,,H,,,,Expert,Binding affinity towards 5-hydroxytryptamine 1B receptor in rat frontal cortex using [125I]iodocyanopindolol as radio-ligand.,B,1,,15854,CHEMBL616558,,BAO_0000019,
1775,10577,,,9,,D,,,,Expert,Inhibitory activity against 5-hydroxytryptamine 1B receptor of rat cortex using [3H]5-HT,B,1,,10639,CHEMBL616749,,BAO_0000019,
1776,10577,,,8,,H,,,,Autocuration,Concentration necessary to achieve half maximal inhibition of [125I]- Iodocyanopindolol binding to 5-hydroxytryptamine 1B receptor at 1 uM,B,1,,10025,CHEMBL616750,,BAO_0000357,
1777,10577,,,8,,H,,,,Autocuration,"Concentration necessary to achieve half maximal inhibition of [125I]- Iodocyanopindolol, binds to 5-hydroxytryptamine 1B receptor at 1 uM",B,1,,10025,CHEMBL616751,,BAO_0000357,
1778,10577,,,8,,H,,,,Autocuration,In vitro inhibitory concentration against radioligand [3H]5-HT binding to 5-hydroxytryptamine 1B receptor in rat striatal membrane,B,1,,14286,CHEMBL616752,,BAO_0000249,
1779,10577,,,8,,H,,Striatum,,Autocuration,Inhibition of [3H]-5-HT binding to 5-hydroxytryptamine 1B receptor in rat striatum; Residual radioligand binding higher than 50%,B,1,,3651,CHEMBL616753,,BAO_0000019,2435.0
1780,10577,,,9,,D,,,,Expert,Inhibition of radiolabeled [3H]-5-HT ligand binding to 5-hydroxytryptamine 1B receptor,B,1,,14178,CHEMBL616754,,BAO_0000357,
1781,10577,,,8,,H,,,,Autocuration,Inhibitory activity against 5-hydroxytryptamine 1B receptor of rat cortex using [3H]5-HT as the radioligand.,B,1,,10639,CHEMBL616755,,BAO_0000019,
1782,10577,,,8,,H,,Striatum,,Autocuration,Inhibitory activity against [3H]5-HT binding to 5-HT1B receptor in rat striatum,B,1,,13605,CHEMBL616756,,BAO_0000019,2435.0
1783,10577,,,8,,H,,Striatum,,Autocuration,Inhibitory concentration required against 5-hydroxytryptamine 1B receptor in rat striatum using [3H]5-HT,B,1,,5834,CHEMBL616757,,BAO_0000019,2435.0
1784,10577,,,8,,H,,Striatum,,Autocuration,compound was measured for affinity against 5-hydroxytryptamine 1B receptor labelled with [3H]5-HT radioligand in striatum tissue,B,1,,10922,CHEMBL616758,,BAO_0000357,2435.0
1785,10577,,,8,,H,,,,Autocuration,Compound at 10E-5 M was tested in vitro for the inhibition of radioligand [3H]5-HT binding to 5-hydroxytryptamine 1B receptor in rat striatal membrane,B,1,,14286,CHEMBL616759,,BAO_0000249,
1786,10577,,,8,,H,,,,Autocuration,In vitro binding affinity towards the 5-hydroxytryptamine 1B receptor at 10 e-6 M,B,1,,11825,CHEMBL616760,,BAO_0000357,
1787,10577,,,8,,H,,Striatum,,Autocuration,Ability to displace [3H]5-HT bound to 5-hydroxytryptamine 1B receptor in rat striatum,B,1,,14826,CHEMBL616761,,BAO_0000019,2435.0
1788,10577,,,8,,H,,Striatum,,Autocuration,Binding affinity against 5-HT1B serotonin receptor in rat striatum,B,1,,9699,CHEMBL616762,,BAO_0000019,2435.0
1789,10577,,,8,,H,,,,Autocuration,Binding affinity against 5-hydroxytryptamine 1B receptor in membranes of Rat cerebral cortex,B,1,,14423,CHEMBL616763,,BAO_0000019,
1790,10577,,,8,,H,,,,Expert,Binding affinity at rat 5-hydroxytryptamine 1B receptor by [3H]5-HT displacement.,B,1,,10062,CHEMBL872909,,BAO_0000357,
1791,10577,,,8,,H,,,,Autocuration,Binding affinity determined in radioreceptor binding assay by using [3H]5-HT radioligand against 5-hydroxytryptamine 1B receptor,B,1,,10062,CHEMBL616764,,BAO_0000357,
1792,10577,,,9,,D,,,,Expert,Inhibition of [3H]5-HT binding to 5-hydroxytryptamine 1B receptor,B,1,,12280,CHEMBL616765,,BAO_0000357,
1793,10577,,,8,,H,,Striatum,,Autocuration,Binding affinity against 5-hydroxytryptamine 1B receptor of rat striatum,B,1,,15412,CHEMBL616766,,BAO_0000357,2435.0
1794,10577,,,8,,H,,Striatum,,Autocuration,Binding affinity against 5-hydroxytryptamine 1B receptor of rat striatum.,B,1,,15412,CHEMBL616767,,BAO_0000357,2435.0
1795,10577,,,8,,H,,,,Autocuration,Binding affinity in radioreceptor binding assay by using [3H]5-HT radioligand against 5-hydroxytryptamine 1B receptor,B,1,,10062,CHEMBL616768,,BAO_0000357,
1796,10577,,,8,,H,,,,Autocuration,Binding affinity towards 5-hydroxytryptamine 1B receptor using [3H]5-HT as radioligand,B,1,,11147,CHEMBL616769,,BAO_0000357,
1797,10577,,,8,,H,,,,Autocuration,Binding affinity towards 5-hydroxytryptamine 1B receptor in rat was determined using 50 uL of [125I]ICYP in binding assay,B,1,,9547,CHEMBL616770,,BAO_0000019,
1798,10577,,,8,,H,,,,Autocuration,Binding affinity was determined against 5-hydroxytryptamine 1B receptor was determined in male Sprague-Dawley rat brain.,B,1,,10444,CHEMBL616771,,BAO_0000019,
1799,10577,,,8,,H,,Striatum,,Autocuration,Binding affinity was measured on 5-hydroxytryptamine 1B receptor in rat striatum labeled with [3H]5-HT,B,1,,12469,CHEMBL616772,,BAO_0000019,2435.0
1800,10577,,,8,,H,,,,Expert,Binding affinity (Ki) to rat cortical membranes at 5-HT1B binding site by using [125 I] ICYP as a radioligand.,B,1,,9098,CHEMBL616773,,BAO_0000019,
1801,10577,,,8,,H,,,,Autocuration,Compound was evaluated for the binding affinity (Ki) to rat cortical membranes at 5-HT1B binding site by using [125 I] ICYP as a radioligand; ND is no data.,B,1,,9098,CHEMBL616774,,BAO_0000019,
1802,10577,,,8,,H,,,,Autocuration,Evaluated for binding affinity towards 5-hydroxytryptamine 1B receptor,B,1,,9699,CHEMBL616775,,BAO_0000357,
1803,10577,,,8,,H,,,,Autocuration,Inhibitory activity against 5-hydroxytryptamine 1B receptor in rat cortical membranes using [3H]5-HT as a radioligand,B,1,,10394,CHEMBL616776,,BAO_0000249,
1804,10577,,,8,,H,,,,Autocuration,The binding affinity was measured on 5-hydroxytryptamine 1B receptor using [3H]- serotonin as radioligand.,B,1,,12092,CHEMBL616777,,BAO_0000357,
1805,10577,,,8,,H,,,,Autocuration,The binding affinity towards the receptor rat 5-hydroxytryptamine 1B receptor; No affinity,B,1,,16700,CHEMBL616778,,BAO_0000357,
1806,10577,,,9,,D,,,,Expert,Binding affinity against 5-hydroxytryptamine 1B receptor in rat striatal membranes using [3H]5-HT as radioligand,B,1,,403,CHEMBL616779,,BAO_0000249,
1807,10577,,,9,,D,,,,Expert,Binding affinity towards 5-hydroxytryptamine 1B receptor,B,1,,12771,CHEMBL616780,,BAO_0000357,
1808,10577,,,8,,H,,,,Autocuration,The compound was tested for its binding affinity towards 5-hydroxytryptamine 1B receptor by displacing [3H]serotonin radioligand in rat cerebral cortex,B,1,,11642,CHEMBL616781,,BAO_0000019,
1809,10577,,,8,,H,,,,Autocuration,The compound was tested for their binding affinity towards 5-hydroxytryptamine 1B receptor from rat striatum using [3H]5-HT as radioligand,B,1,,12953,CHEMBL616782,,BAO_0000357,
1810,10577,,,8,,H,,,,Autocuration,The compound was tested for their binding affinity towards 5-hydroxytryptamine 1B receptor from rat striatum using [3H]5-HT as radioligand.,B,1,,12953,CHEMBL616783,,BAO_0000357,
1811,10577,,,8,,H,,Striatum,,Expert,Binding affinity for 5-hydroxytryptamine 1B receptor in rat striatum using [3H]5-HT as radioligand,B,1,,12953,CHEMBL616784,,BAO_0000019,2435.0
1812,10577,,,8,,H,,,,Autocuration,The compound was tested for their binding affinity towards 5-hydroxytryptamine 1B receptor from rat striatum using [3H]5-HT as radioligand; Nonactive at 10 uM,B,1,,12953,CHEMBL616785,,BAO_0000357,
1813,10577,,,8,,H,,Brain,,Autocuration,Binding affinity against 5-HT1B receptor in rat brain membrane using [3H]8-OH-DPAT as a selective ligand.,B,1,,9737,CHEMBL857067,,BAO_0000249,955.0
1814,10577,,,8,,H,,,,Autocuration,Binding affinity against 5-HT1B receptor in rat frontal cortex using [3H]-5-HT in presence of 0.1 uM [3H]-8-OH-DPAT as a radioligand,B,1,,9737,CHEMBL616786,,BAO_0000019,
1815,10577,,,8,,H,,Brain,,Autocuration,Binding affinity towards 5-HT1B receptor in rat brain membrane using [3H]8-OH-DPAT as a selective ligand.,B,1,,9737,CHEMBL616787,,BAO_0000249,955.0
1816,10577,,,8,,H,,,,Autocuration,Binding affinity towards 5-hydroxytryptamine 2C receptor of porcine choroid plexus using [3H]mesulergine,B,1,,12827,CHEMBL616788,,BAO_0000357,
1817,10577,,,8,,H,,,,Autocuration,Ability to displace the radioligand [125I](-)-iodocyanopindolol from rat striatal 5-hydroxytryptamine 1B receptor,B,1,,5033,CHEMBL616789,,BAO_0000357,
1818,10577,,,9,,D,,,,Expert,Displacement of [3H]5-HT from 5-HT1B receptor of rat frontal cortex homogenate,B,1,,9786,CHEMBL616790,,BAO_0000019,
1819,10577,,,8,,H,,,,Expert,Binding affinity at 5-hydroxytryptamine 1B receptor,B,1,,13116,CHEMBL616791,,BAO_0000357,
1820,10577,,,8,,H,,,,Autocuration,In vitro binding affinity at 5-hydroxytryptamine 1B receptor in rat striatal muscles using [125I](-)-iodocyanopindolol as the radioligand,B,1,,16429,CHEMBL616792,,BAO_0000019,
1821,10577,,,9,,D,,,,Expert,In vitro binding affinity towards 5-hydroxytryptamine 1B receptor in rat striatal membrane with [125I]- iodocyanopindolol,B,1,,12409,CHEMBL616793,,BAO_0000249,
1822,10577,,,8,,H,,,,Autocuration,The compound was tested for the binding affinity against 5-hydroxytryptamine 1B receptor using [3H]5-HT as radioligand,B,1,,15194,CHEMBL616794,,BAO_0000357,
1823,10577,,,8,,H,,,,Autocuration,The compound was tested for the binding affinity against 5-hydroxytryptamine 1B receptor using [3H]5-HT as radioligand.,B,1,,15194,CHEMBL616795,,BAO_0000357,
1824,104686,,,4,,H,,,,Autocuration,Binding affinity towards 5-HT2 receptor by the displacement of [3H]-ketanserin] in rat cerebral cortex,B,1,,5486,CHEMBL616796,,BAO_0000019,
1825,106,,,8,,H,,,,Autocuration,Compound was tested for binding affinity against 5-hydroxytryptamine 1B receptor,B,1,,4639,CHEMBL616797,,BAO_0000357,
1826,106,,,8,,H,Brain membranes,,,Autocuration,The compound was evaluated for its ability to displace [3H]5-HT from 5-hydroxytryptamine 1B receptor in cellular brain membranes,B,1,,386,CHEMBL616798,,BAO_0000249,
1827,106,,,8,,H,,,,Autocuration,Compound was measured for its binding affinity at 5-hydroxytryptamine 1B receptor at a concentration of 100 nM using [125I]CYP as radioligand,B,1,,2474,CHEMBL616799,,BAO_0000357,
1828,106,,,8,,H,,,,Autocuration,Inhibition of binding towards 5-hydroxytryptamine 1B receptor at 100 nM concentration,B,1,,6011,CHEMBL616800,,BAO_0000357,
1829,106,,,8,,H,,,,Autocuration,Percent inhibition (at 1 uM) against 5-hydroxytryptamine 1B receptor,B,1,,5014,CHEMBL616801,,BAO_0000357,
1830,106,,,8,,H,,,,Autocuration,Binding affinity of compound towards serotonin 5-hydroxytryptamine 1B receptor; inactive at 10 uM,B,1,,17515,CHEMBL616802,,BAO_0000357,
1831,106,,,8,,H,,,,Autocuration,Binding affinity relative to indolopiperidine (compound 1) for 5-hydroxytryptamine 1B receptor was determined,B,1,,4373,CHEMBL616803,,BAO_0000357,
1832,106,,,8,,H,,,,Expert,Binding affinity towards 5-hydroxytryptamine 1B receptor by displacement of [3H]5-HT.,B,1,,1633,CHEMBL857068,,BAO_0000357,
1833,106,,,8,,H,,,,Autocuration,Compound was evaluated for the binding affinity towards 5-hydroxytryptamine 1B receptor by displacement of [3H]ketanserin.,B,1,,1633,CHEMBL616804,,BAO_0000357,
1834,106,,,8,,H,,,,Autocuration,Binding affinity for 5-hydroxytryptamine 1B receptor was determined,B,1,,4373,CHEMBL616805,,BAO_0000357,
1835,106,,,8,,H,,,,Autocuration,Evaluated for the binding affinity to 5-hydroxytryptamine 1B receptor,B,1,,4687,CHEMBL616806,,BAO_0000357,
1836,106,,,8,,H,,,,Autocuration,Binding affinity against 5-hydroxytryptamine 1B receptor,B,1,,11574,CHEMBL616807,,BAO_0000357,
1837,106,,,8,,H,,,,Autocuration,Binding affinity for 5-hydroxytryptamine 1B receptor was determined by using [3H]5-HT as radioligand,B,1,,10321,CHEMBL616808,,BAO_0000357,
1838,106,,,8,,H,,,,Autocuration,Binding affinity towards 5-hydroxytryptamine 1B receptor using [3H]5-HT as radioligand.,B,1,,15527,CHEMBL616809,,BAO_0000357,
1839,106,,,8,,H,,,,Autocuration,Inhibitory constant against 5-hydroxytryptamine 1B receptor using with [125I]- cyanopindolol radioligand,B,1,,17200,CHEMBL616810,,BAO_0000357,
1840,104802,,,4,,H,,,,Autocuration,Binding affinity against 5-hydroxytryptamine 1B receptor - 5-hydroxytryptamine 1D receptor using [3H]5-HT as the radioligand.,B,1,,14423,CHEMBL616811,,BAO_0000224,
1841,108,,,8,,H,,,,Autocuration,Inhibitory concentration required against 5-hydroxytryptamine 1C receptor in bovine choroid plexus using [3H]mesulergine,B,1,,5834,CHEMBL616812,,BAO_0000357,
1842,108,,,8,,H,,,,Autocuration,Binding affinity towards 5-hydroxytryptamine 1C receptor using [3H]mesulergine as radioligand,B,1,,11473,CHEMBL616813,,BAO_0000357,
1843,108,,,8,,H,,,,Autocuration,Compound was evaluated for binding affinity towards 5-hydroxytryptamine 1C receptor in pig choroid plexus using [3H]mesulergine as radioligand,B,1,,11473,CHEMBL616814,,BAO_0000357,
1844,108,,,8,,H,,,,Autocuration,Compound was evaluated for its inhibitory activity against 5-hydroxytryptamine 1C receptor of pig choroid plexus using [3H]mesulergine as the radioligand,B,1,,10639,CHEMBL616815,,BAO_0000357,
1845,108,,,8,,H,,,,Autocuration,inhibitory activity against 5-hydroxytryptamine 1C receptor of pig choroid plexus using [3H]mesulergine as the radioligand,B,1,,10639,CHEMBL616816,,BAO_0000357,
1846,108,,,8,,H,,,,Autocuration,Binding affinity of compound towards 5-hydroxytryptamine 1C receptor using [3H]mesulergine (1.2 nM) ligand in choroid Plexus pig was determined,B,1,,14331,CHEMBL616817,,BAO_0000357,
1847,108,,,8,,H,,,,Autocuration,Compound was tested in vitro for binding affinity for 5-hydroxytryptamine 1C receptor,B,1,,10796,CHEMBL616818,,BAO_0000357,
1848,108,,,8,,H,,,,Expert,Evaluated for the binding affinity to porcine choroid plexus at 5-hydroxytryptamine 2C receptor binding site by using [3H]-MES as a radioligand.,B,1,,9098,CHEMBL616819,,BAO_0000357,
1849,108,,,8,,H,,,,Expert,Inhibition of [3H]mesulergine binding to 5-hydroxytryptamine 1C receptor of pig choroid Plexus,B,1,,14331,CHEMBL616820,,BAO_0000357,
1850,108,,,8,,H,,,,Expert,Displacement of [3H]mesulergine from pig cortex 5-hydroxytryptamine 1C receptor,B,1,,11828,CHEMBL616821,,BAO_0000019,
1851,108,,,8,,H,,,,Autocuration,Binding affinity for 5-hydroxytryptamine 1C receptor in piglet choroid plexus using [3H]5-HT,B,1,,11866,CHEMBL616822,,BAO_0000357,
1852,108,,,8,,H,,,,Autocuration,Binding affinity against 5-hydroxytryptamine 1D receptor alpha using rabbit saphenous vein assay.,B,1,,13047,CHEMBL616823,,BAO_0000019,
1853,12689,,,9,,D,,,,Autocuration,Tested for the effect on binding at 5-hydroxytryptamine 1C receptor; No activity,B,1,,188,CHEMBL616824,,BAO_0000357,
1854,12689,,,9,,D,,,,Autocuration,In vitro binding affinity towards the 5-hydroxytryptamine 1C receptor at 10 e-6 M,B,1,,11825,CHEMBL616825,,BAO_0000357,
1855,12689,,,9,,D,,,,Autocuration,In vitro binding affinity towards the 5-hydroxytryptamine 1C receptor at 10 e-6 M,B,1,,11825,CHEMBL616826,,BAO_0000357,
1856,12689,,,9,,D,,,,Expert,Binding affinity against 5-hydroxytryptamine 1C receptor in rat using [3H]mesulergine as radioligand,B,1,,11624,CHEMBL616827,,BAO_0000019,
1857,12689,,,9,,D,,,,Autocuration,Binding affinity towards 5-hydroxytryptamine 1C receptor using [125 I]-SCH23982 as radioligand in competitive binding assay,B,1,,11139,CHEMBL616828,,BAO_0000357,
1858,12689,,,9,,D,,,,Autocuration,Binding affinity towards 5-hydroxytryptamine 1C receptor using [3H]mesulergine as radioligand,B,1,,11147,CHEMBL616829,,BAO_0000357,
1859,12689,,,9,,D,,,,Autocuration,Binding affinity was determined against 5-hydroxytryptamine 1C receptor was determined in male Sprague-Dawley rat brain.,B,1,,10444,CHEMBL616830,,BAO_0000019,
1860,12689,,,9,,D,,,,Expert,Binding affinity against 5-hydroxytryptamine 1C receptor,B,1,,11624,CHEMBL616831,,BAO_0000357,
1861,12689,,,9,,D,,,,Autocuration,"Compound was tested for binding affinity towards 5-HT1C (5-HT1C) receptor from frontal cortical regions of male Sprague-Dawley rat homogenates, using [3H]mesulergine as radioligand",B,1,,11662,CHEMBL616832,,BAO_0000019,
1862,12689,,,9,,D,,,,Autocuration,"Compound was tested for binding affinity towards 5-hydroxytryptamine 1C receptor from frontal cortical regions of male Sprague-Dawley rat homogenates, using [3H]mesulergine as radioligand",B,1,,11662,CHEMBL616833,,BAO_0000019,
1863,12689,,,9,,D,,,,Expert,"Binding affinity towards 5-hydroxytryptamine 1C receptor from frontal cortical regions of male Sprague-Dawley rat homogenates, using [3H]mesulergine as radioligand",B,1,,11662,CHEMBL616834,,BAO_0000019,
1864,12689,,,9,,D,,,,Autocuration,"Compound was tested for binding affinity towards 5-hydroxytryptamine 1C receptor from frontal cortical regions of male Sprague-Dawley rat homogenates, using [3H]mesulergine as radioligand",B,1,,11662,CHEMBL829595,,BAO_0000019,
1865,12689,,,9,,D,,,,Autocuration,Evaluated for the binding affinity to porcine choroid plexus at 5-hydroxytryptamine 1C receptor binding site by using [3H]- MES as a radioligand.,B,1,,9098,CHEMBL616835,,BAO_0000357,
1866,12689,,,9,,D,,,,Autocuration,Inhibitory activity against 5-hydroxytryptamine 1C receptor in rat cortical membranes using [3H]mesulergine as a radioligand,B,1,,10394,CHEMBL872910,,BAO_0000249,
1867,12689,,,8,,H,,,,Expert,Tested for binding affinity against 5-hydroxytryptamine 1C receptor from rat frontal cortical regions using [3H]mesulergine as radioligand,B,1,,11933,CHEMBL616836,,BAO_0000357,
1868,12689,,,9,,D,,,,Autocuration,The binding affinity was measured on 5-hydroxytryptamine 1C receptor using [3H]- serotonin as radioligand.,B,1,,12092,CHEMBL616837,,BAO_0000357,
1869,12689,,,9,,D,,,,Autocuration,Binding affinity of 5-hydroxytryptamine 1C receptor using [3H]- ketanserin in rat frontal cortex,B,1,,12253,CHEMBL616466,,BAO_0000019,
1870,12689,,,9,,D,,,HEK293,Autocuration,Binding affinity towards rat 5-hydroxytryptamine 1C receptor using [3H]mesulergine as radioligand expressed in 293 cells,B,1,,12253,CHEMBL616467,722.0,BAO_0000219,
1871,108,,,8,,H,,,,Autocuration,Compound was tested for its affinity towards 5-hydroxytryptamine 1C receptor,B,1,,1558,CHEMBL616468,,BAO_0000357,
1872,108,,,8,,H,,,,Autocuration,Compound was measured for its binding affinity at 5-hydroxytryptamine 1C receptor at a concentration of 100 nM using [3H]mesulergine as radioligand,B,1,,2474,CHEMBL616469,,BAO_0000357,
1873,108,,,8,,H,,,,Autocuration,Compound was measured for its binding affinity at 5-hydroxytryptamine 1C receptor at a concentration of 100 nM using [3H]mesulergine as radioligand,B,1,,2474,CHEMBL616470,,BAO_0000357,
1874,12689,,,8,,H,,,,Autocuration,Binding affinity against 5-hydroxytryptamine 1C receptor,B,1,,11574,CHEMBL616471,,BAO_0000357,
1875,12689,,,8,,H,,,,Autocuration,Compound was tested for its affinity towards 5-hydroxytryptamine 1C receptor,B,1,,1558,CHEMBL616472,,BAO_0000357,
1876,12689,,,8,,H,,,,Autocuration,Binding affinity against 5-hydroxytryptamine 1C receptor,B,1,,13944,CHEMBL616473,,BAO_0000357,
1877,12689,,,8,,H,,,,Autocuration,Binding affinity against serotonergic 5-HT1c receptor,B,1,,13033,CHEMBL616474,,BAO_0000357,
1878,12689,,,8,,H,,,,Autocuration,Binding affinity for 5-hydroxytryptamine 1C receptor was determined by using [3H]- mesulergine as radioligand,B,1,,10321,CHEMBL616475,,BAO_0000357,
1879,12689,,,8,,H,,,,Autocuration,Binding affinity for 5-hydroxytryptamine 1C receptor was determined,B,1,,11866,CHEMBL616476,,BAO_0000357,
1880,105,,,8,,H,,,,Autocuration,Compound was tested for 5-hydroxytryptamine 1D like receptor-mediated vascular effect in rabbit saphenous vein (RSV),B,1,,14454,CHEMBL616477,,BAO_0000019,
1881,104686,,,4,,H,,,,Autocuration,Binding affinity against 5-hydroxytryptamine 2 receptor using [125I]DOI as radioligand.,B,1,,11574,CHEMBL616478,,BAO_0000224,
1882,104686,,,4,,H,,,,Autocuration,Binding affinity against 5-hydroxytryptamine 2 receptor using [3H]ket as radioligand.,B,1,,11574,CHEMBL616479,,BAO_0000224,
1883,104686,,,4,,H,,,,Autocuration,Binding affinity towards serotonin 5-HT2 receptor was determined in rat cortex using [3H]spiperone as ligand,B,1,,13631,CHEMBL616480,,BAO_0000019,
1884,104686,,,5,,D,,,,Autocuration,Binding affinity towards 5-hydroxytryptamine 2 receptor as antagonism of serotonin-induced contractions in rat jugular vein,B,1,,9630,CHEMBL616481,,BAO_0000019,
1885,104686,,,5,,D,,,,Autocuration,Binding affinity towards 5-hydroxytryptamine 2 receptor in rat brain cortical membranes,B,1,,8822,CHEMBL616482,,BAO_0000249,
1886,104686,,,5,,D,,Brain,,Autocuration,Binding affinity towards 5-hydroxytryptamine 2 receptor in rat brain using [3H]spiroperidol,B,1,,9064,CHEMBL884713,,BAO_0000221,955.0
1887,104686,,,4,,H,,,,Autocuration,Binding affinity towards 5-hydroxytryptamine 2 receptor measured using radioligand ([3H]spiperone) binding assay,B,1,,8868,CHEMBL616483,,BAO_0000224,
1888,104686,,,4,,H,,,,Autocuration,Binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]- spiroperidol,B,1,,9064,CHEMBL616484,,BAO_0000224,
1889,104686,,,4,,H,,,,Autocuration,Binding affinity at 5-hydroxytryptamine 2 receptor from rat frontal cortex homogenates by [3H]-spiperone displacement.,B,1,,9806,CHEMBL616485,,BAO_0000019,
1890,104686,,,4,,H,,,,Autocuration,Binding affinity towards 5-hydroxytryptamine 2 receptor was determined,B,1,,9098,CHEMBL616486,,BAO_0000224,
1891,104686,,,4,,H,,,,Autocuration,Binding affinity towards 5-hydroxytryptamine 2 receptor was measured using radioligand ([3H]spiperone) binding assay,B,1,,8868,CHEMBL616487,,BAO_0000224,
1892,104686,,,4,,H,,,,Autocuration,Binding affinity at serotonin 5-hydroxytryptamine 2 receptor by [3H]ketanserin displacement.,B,1,,12765,CHEMBL616488,,BAO_0000224,
1893,104686,,,4,,H,,,,Autocuration,Compound was evaluated In vitro for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]ketanserin as radioligand.,B,1,,11049,CHEMBL616489,,BAO_0000019,
1894,104686,,,4,,H,,,,Autocuration,Compound was evaluated In vitro for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]ketanserin as radioligand.,B,1,,11049,CHEMBL616490,,BAO_0000019,
1895,104686,,,4,,H,,,,Autocuration,Compound was evaluated In vitro for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]-Ketanserin as radioligand; not determined,B,1,,11049,CHEMBL616491,,BAO_0000019,
1896,104686,,,4,,H,,,,Autocuration,Compound was evaluated In vitro for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]ketanserin as radioligand; ND-Not determined,B,1,,11049,CHEMBL616492,,BAO_0000019,
1897,104686,,,4,,H,,,,Autocuration,Compound was evaluated In vitro for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]ketanserin as radioligand.,B,1,,11049,CHEMBL616493,,BAO_0000019,
1898,104686,,,4,,H,,,,Autocuration,Compound was evaluated for binding affinity towards 5-hydroxytryptamine 2 receptor in rat anterior cortex using [125I]DOI as radioligand,B,1,,11473,CHEMBL616494,,BAO_0000019,
1899,104686,,,4,,H,,,,Autocuration,Compound was evaluated for binding affinity towards 5-hydroxytryptamine 2 receptor in rat anterior cortex using [3H]ketanserin as radioligand,B,1,,11473,CHEMBL616495,,BAO_0000019,
1900,104686,,,4,,H,,,,Autocuration,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor in rat pre frontal cortex,B,1,,3086,CHEMBL616496,,BAO_0000019,
1901,104686,,,4,,H,,,,Autocuration,Compound was evaluated for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]ketanserin as radioligand.,B,1,,11049,CHEMBL616497,,BAO_0000019,
1902,104686,,,4,,H,,,,Autocuration,Compound was evaluated for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]ketanserin as radioligand.,B,1,,11049,CHEMBL616498,,BAO_0000019,
1903,104686,,,4,,H,,,,Autocuration,Compound was evaluated for its inhibitory activity against 5-hydroxytryptamine 2 receptor of rat anterior cortex using [3H]ketanserin as the radioligand,B,1,,10639,CHEMBL616499,,BAO_0000019,
1904,104686,,,4,,H,,,,Autocuration,Compound was measured for affinity at 5-hydroxytryptamine 2 receptor in rat cortical by [3H]spiroperidol displacement.,B,1,,10922,CHEMBL616500,,BAO_0000019,
1905,104686,,,5,,D,,Brain,,Autocuration,Binding affinity against serotonin-2 receptor in rat brain using [3H]spiroperidol,B,1,,9064,CHEMBL616501,,BAO_0000221,955.0
1906,104686,,,4,,H,,Brain,,Autocuration,Compound was tested for its inhibitory effect on the binding profile in 5-hydroxytryptamine 2 receptor using [3H]spiroperidol in rat brain.,B,1,,10748,CHEMBL616502,,BAO_0000221,955.0
1907,104686,,,4,,H,Membranes,,,Autocuration,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor from rat cortical membranes.,B,1,,11614,CHEMBL884529,,BAO_0000249,
1908,104686,,,4,,H,Membranes,,,Autocuration,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor in rat cortical membranes,B,1,,11615,CHEMBL616503,,BAO_0000249,
1909,104686,,,4,,H,,,,Autocuration,Compound was tested for the displacement of [3H]ketanserin from serotonin 5-hydroxytryptamine 2 receptor,B,1,,11615,CHEMBL616964,,BAO_0000224,
1910,104686,,,4,,H,Membranes,,,Autocuration,Compound was tested for the displacement of [3H]ketanserin from serotonin 5-hydroxytryptamine 2 receptor from rat cortical membranes.,B,1,,11614,CHEMBL616965,,BAO_0000249,
1911,104686,,,4,,H,,,,Autocuration,Inhibition of [3H]ketanserin binding to rat 5-hydroxytryptamine 2 receptors.,B,1,,11702,CHEMBL616966,,BAO_0000224,
1912,104686,,,4,,H,,,,Autocuration,Compound was tested for the inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor; NT=Not tested,B,1,,11702,CHEMBL616967,,BAO_0000224,
1913,104686,,,5,,D,,,,Autocuration,Inhibition of [3H]ketanserin binding to dopamine 5-hydroxytryptamine 2 receptor,B,1,,11702,CHEMBL616968,,BAO_0000224,
1914,104686,,,4,,H,,,,Autocuration,Compound was tested for the inhibition of [3H]ketanserin binding to dopamine 5-hydroxytryptamine 2 receptor; NT=Not tested,B,1,,11702,CHEMBL616969,,BAO_0000224,
1915,104686,,,4,,H,,,,Autocuration,Inhibition of [3H]ketanserin binding at 5-hydroxytryptamine 2 receptor from rat frontal cortex.,B,1,,13346,CHEMBL884530,,BAO_0000019,
