ASI,ASSSUBCELFR,Descri,TISI,VAI,Ti,ASSCTY,RELAT,CONFISC,CUB,SRI,SASI,CHI,CI,BAFO
9027,,Area under the curve was calculated in rat after peroral administration,,,50597,,N,1,Intermediate,1,,CHEMBL621956,,BAO_0000218
9028,,Dose-normalized AUC was determined by po administration (10 mg/kg) in fasted male Sprague-Dawley rats,,,50597,,N,1,Intermediate,1,,CHEMBL621957,,BAO_0000218
9029,,Dose-normalized AUC measured in fasted male Sprague dawely rats when the compound was administered at a peroral dose of 2 mg/Kg,,,50597,,N,1,Intermediate,1,,CHEMBL621958,,BAO_0000218
9030,,Dose-normalized AUC measured in fasted male Sprague dawely rats when the compound was administered at a peroral of 2 mg/Kg,,,50597,,N,1,Intermediate,1,,CHEMBL621959,,BAO_0000218
9031,,Dose-normalized area under curve in rat (i.v.) at 0.5 mpk,,,50597,,N,1,Intermediate,1,,CHEMBL621960,,BAO_0000218
9032,,Dose-normalized area under curve in rat (p.o.) at 2.0 mpk,,,50597,,N,1,Intermediate,1,,CHEMBL621961,,BAO_0000218
9033,,p value of the compound,,,50597,,N,1,Intermediate,1,,CHEMBL621962,,BAO_0000218
9034,,p value of the compound,,,50597,,N,1,Intermediate,1,,CHEMBL876787,,BAO_0000218
9035,,p value of the compound,,,50597,,N,1,Intermediate,1,,CHEMBL621963,,BAO_0000218
9036,,pH of the gastric juice (Control value = 1.42+/-0.02) of stomach content of pylorus ligated rats was measured (10 mg/kg po of the Compound was administered 1 hr before the pylorus ligation),945.0,,50597,,N,1,Intermediate,1,,CHEMBL622637,,BAO_0000218
9037,,pH of the gastric juice (Control value = 1.42+/-0.02) of stomach content of pylorus ligated rats was measured (20 mg/kg po of the Compound was administered 1 hr before the pylorus ligation),945.0,,50597,,N,1,Intermediate,1,,CHEMBL622638,,BAO_0000218
9038,,pH of the gastric juice (Control value = 1.42+/-0.02) of stomach content of pylorus ligated rats was measured (5 mg/kg po of the Compound was administered 1 hr before the pylorus ligation),945.0,,50597,,N,1,Intermediate,1,,CHEMBL626561,,BAO_0000218
9039,,Negative log of minimum effective dose (moles per kilogram) in rabbits (hypnotic),,,22224,,U,0,Autocuration,1,,CHEMBL626562,,BAO_0000019
9040,,Evaluated for pharmacokinetic parameter area under curve in rabbit at the dose 20 mg/kg ( 0-4 hr ),,,22224,,U,0,Autocuration,1,,CHEMBL626563,,BAO_0000218
9041,,Evaluated for pharmacokinetic parameter area under curve in rabbit at the dose 20 mg/kg (0-4 hr ),,,22224,,U,0,Autocuration,1,,CHEMBL626564,,BAO_0000218
9042,,Clearance was measured at the concentration of 1.11 mg/kg in rabbit blood sample,,,22224,,U,0,Autocuration,1,,CHEMBL626565,,BAO_0000218
9043,,Clearance was measured at the concentration of 2.0 mg/kg in rabbit blood sample,,,22224,,U,0,Autocuration,1,,CHEMBL626566,,BAO_0000218
9044,,Clearance rate in rabbits,,,22224,,U,0,Autocuration,1,,CHEMBL626567,,BAO_0000218
9045,,Plasma clearance was determined in rabbit at a dose of 5 mg/kg/h administered i.v.,,,22224,,U,0,Autocuration,1,,CHEMBL626568,,BAO_0000218
9046,,Clearance in male New Zealand white rabbits after administration via an indwelling catheter in an ear vein at 4.9 mg/kg,,,22224,,U,0,Autocuration,1,,CHEMBL626569,,BAO_0000218
9047,,Clearance in male New Zealand white rabbits after administration via an indwelling catheter in an ear vein at 5 mg/kg,,,22224,,U,0,Autocuration,1,,CHEMBL626570,,BAO_0000218
9048,,Clearance in male New Zealand white rabbits after i.v. administration at 2.0 mg/kg,,,22224,,U,0,Autocuration,1,,CHEMBL626571,,BAO_0000218
9049,,Evaluated for pharmacokinetic parameter Cmax in rabbit at the dose 20 mg/kg,,,22224,,U,0,Autocuration,1,,CHEMBL626572,,BAO_0000218
9050,,Maximum plasma concentration was determined in rabbit at a dose of 5 mg/kg/h administered i.v.,1969.0,,22224,,U,0,Autocuration,1,,CHEMBL626573,,BAO_0000218
9051,Microsomes,Oxidation by dutch rabbit liver microsomes in presence of NADPH/O2,2107.0,,22224,,U,0,Autocuration,1,,CHEMBL626574,,BAO_0000251
9052,Microsomes,Oxidation by dutch rabbit liver microsomes in presence of cumene hydroperoxide,2107.0,,22224,,U,0,Autocuration,1,,CHEMBL626575,,BAO_0000251
9053,,Dose at which bioavailability of intravenously administered compound was tested in rabbit,,,22224,,U,0,Autocuration,1,,CHEMBL626576,,BAO_0000218
9054,,Dose at which bioavailability of perorally administered compound was tested in rabbit,,,22224,,U,0,Autocuration,1,,CHEMBL626577,,BAO_0000218
9055,,The compound was tested for its bioavailability in rabbit (by oral dosage).,,,22224,,U,0,Autocuration,1,,CHEMBL626578,,BAO_0000218
9056,,Mean retention time in male New Zealand white rabbits after administration via an indwelling catheter in an ear vein at 4.9 mg/kg,,,22224,,U,0,Autocuration,1,,CHEMBL625263,,BAO_0000218
9057,,Mean retention time in male New Zealand white rabbits after administration via an indwelling catheter in an ear vein at 5 mg/kg,,,22224,,U,0,Autocuration,1,,CHEMBL625264,,BAO_0000218
9058,,Mean retention time in male New Zealand white rabbits after i.v. administration at 2.0 mg/kg,,,22224,,U,0,Autocuration,1,,CHEMBL625265,,BAO_0000218
9059,Microsomes,Metabolism of compound in rabbit S9 microsomes ('+''indicates <20% largest observed peak),,,22224,,U,0,Autocuration,1,,CHEMBL625266,,BAO_0000251
9060,Microsomes,Metabolism of compound in rabbit S9 microsomes ('++++' indicates largest observed peak),,,22224,,U,0,Autocuration,1,,CHEMBL876796,,BAO_0000251
9061,,Evaluated for pharmacokinetic parameter half-life in rabbit at the dose 20 mg/kg,,,22224,,U,0,Autocuration,1,,CHEMBL625267,,BAO_0000218
9062,,Plasma half-life in male New Zealand white rabbits after administration via an indwelling catheter in an ear vein at 4.9 mg/kg,1969.0,,22224,,U,0,Autocuration,1,,CHEMBL625268,,BAO_0000218
9063,,Plasma half-life in male New Zealand white rabbits after administration via an indwelling catheter in an ear vein at 5 mg/kg,1969.0,,22224,,U,0,Autocuration,1,,CHEMBL625269,,BAO_0000218
9064,,Plasma half-life in male New Zealand white rabbits after i.v. administration at 2.0 mg/kg,1969.0,,22224,,U,0,Autocuration,1,,CHEMBL624689,,BAO_0000218
9065,,Evaluated for pharmacokinetic parameter tmax in rabbit at the dose 20 mg/kg,,,22224,,U,0,Autocuration,1,,CHEMBL624690,,BAO_0000218
9066,,Evaluated for pharmacokinetic parameter urine recovery in rabbit at the dose 20 mg/kg ( 0-24 hr ),1088.0,,22224,,U,0,Autocuration,1,,CHEMBL624691,,BAO_0000218
9067,,Evaluated for pharmacokinetic parameter urine recovery in rabbit at the dose 20 mg/kg (0-24 hr),1088.0,,22224,,U,0,Autocuration,1,,CHEMBL624692,,BAO_0000218
9068,,The compound was evaluated for volume of distribution in rabbit at a dose of 5 mg/kg/h administered i.v.,,,22224,,U,0,Autocuration,1,,CHEMBL624693,,BAO_0000218
9069,,Volume of distribution after intravenous administration of 1 mg/kg/h in dog,,,22224,,U,0,Autocuration,1,,CHEMBL624694,,BAO_0000218
9070,,In vitro Biological half-life in crude homogenate of rabbit renal cortex,,,22224,,U,0,Autocuration,1,,CHEMBL877596,,BAO_0000221
9071,,Time within which only 10% of the drug was degraded,,,22224,,U,0,Autocuration,1,,CHEMBL624695,,BAO_0000019
9072,,Half life period in rabbit liver homogenate,2107.0,,22224,,U,0,Autocuration,1,,CHEMBL624696,,BAO_0000221
9073,,Half life value in rabbits,,,22224,,U,0,Autocuration,1,,CHEMBL624697,,BAO_0000019
9074,,Half-life was measured at the concentration of 1.11 mg/kg in rabbit blood sample,178.0,,22224,,U,0,Autocuration,1,,CHEMBL624698,,BAO_0000218
9075,,Half-life was measured at the concentration of 2.0 mg/kg in rabbit blood sample,178.0,,22224,,U,0,Autocuration,1,,CHEMBL624699,,BAO_0000218
9076,,Half-life period in rabbits following intravenous administration at 2 mg/kg,,,22224,,U,0,Autocuration,1,,CHEMBL624700,,BAO_0000218
9077,,AUC 0-8 hr value in rats at 10 mg/kg,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622903,,BAO_0000218
9078,,AUC after administration at 2000 mg/kg/day in rats,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622904,,BAO_0000218
9079,,AUC of compound for a 2 mpk po dose of the sodium salt in rats.,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622905,,BAO_0000218
9080,,AUC at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622906,,BAO_0000218
9081,,AUC at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622907,,BAO_0000218
9082,,AUC in rat after oral administration at 10.5 mg/kg dose,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622908,,BAO_0000218
9083,,AUC in rat after oral administration at 11.2 mg/kg dose,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622909,,BAO_0000218
9084,,AUC in rat after oral administration at 9.7 mg/kg dose,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622910,,BAO_0000218
9085,,AUC in rat brain after oral administration at 10 mg/kg,955.0,,50597,,N,1,Intermediate,1,,CHEMBL622911,,BAO_0000218
9086,,AUC in rat p.o.,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622912,,BAO_0000218
9087,,AUC in rat p.o. at 20 mg/kg concentration,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622913,,BAO_0000218
9088,,AUC in rat plasma after oral administration at 10 mg/kg,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622914,,BAO_0000218
9089,,AUC in rats,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622915,,BAO_0000218
9090,,AUC value after IV dose at a dose of 5 mg/kg in rats.,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622916,,BAO_0000218
9091,,AUC value after oral dose at a dose of 10 mg/kg in rats.,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622917,,BAO_0000218
9092,,"Maximum plasma concentration in rats at 2 mg/kg, i.v. dose; n/a: not applicable",1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622918,,BAO_0000218
9093,,Maximum plasma concentration in rats when a oral dose of 200 mg/kg was given,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622919,,BAO_0000218
9094,,Maximum plasma concentration was evaluated in rat,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622920,,BAO_0000218
9095,,Maximum plasma concentration was evaluated in vivo in rat at a dose of 5 mg/kg by oral administration,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622921,,BAO_0000218
9096,,Maximum plasma concentration reached by compound was determined after 2 mg/kg (p.o.) administration,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622922,,BAO_0000218
9097,,Maximum plasma concentration reached by compound was determined in rats at 50 mg/kg dose,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622923,,BAO_0000218
9098,,Maximum plasma concentration was determined after oral administration at a dose 10 mg/kg to male Sprague-Dawley rats,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL877604,,BAO_0000218
9099,,Maximum plasma concentration was evaluated in rats at an intravenous dose of 3 mg/kg,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622924,,BAO_0000218
9100,,Maximum plasma concentration was evaluated in rats at an oral dose of 30 mg/kg,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622925,,BAO_0000218
9101,,Maximum plasma concentration was measured when a dose of 1 mg/kg is administered orally,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622926,,BAO_0000218
9102,,Maximum plasma concentration (Cmax) in rat (in vivo) at a dose of 10 mg/kg,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL623625,,BAO_0000218
9103,,Maximum plasma drug concentration of compound determined in rat after iv administration at a dose of 10 mg/kg,1969.0,,50597,,N,1,Expert,1,,CHEMBL623626,,BAO_0000218
9104,,Maximum plasma drug concentration was determined,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL623627,,BAO_0000218
9105,,Maximum concentration by intravenous administration of 3.4 mg/kg in rat,,,50597,,N,1,Intermediate,1,,CHEMBL623628,,BAO_0000218
9106,,Mean peak plasma concentration was observed after intravenous administration in rat,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL623629,,BAO_0000218
9107,,Mean peak plasma concentration was observed after oral administration in rat,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL623630,,BAO_0000218
9108,,Peak concentration (Cmax) at a dose of 10 mg/kg in rats,,,50597,,N,1,Intermediate,1,,CHEMBL623804,,BAO_0000218
9109,,Peak concentration (Cmax) at a dose of 20 mg/kg in rats,,,50597,,N,1,Intermediate,1,,CHEMBL623805,,BAO_0000218
9110,,Peak oral plasma concentration was determined in rats by oral administration,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL623806,,BAO_0000218
9111,,Peak plasma concentration (Cmax) was determined,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL623807,,BAO_0000218
9112,,Peak plasma concentration (Cmax) following an oral dose of 20 mg/kg in rats,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL623808,,BAO_0000218
9113,,Peak plasma concentration (Cmax) in rats,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL623809,,BAO_0000218
9114,,Peak plasma concentration at 1 mg/kg peroral administration,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL623810,,BAO_0000218
9115,,Peak plasma concentration in rat,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL623811,,BAO_0000218
9116,,"Pharmacokinetic Parameter, Cmax is observed maximum plasma concentration in Female Wistar Rats at 100 mg/kg by po administration",1969.0,,50597,,N,1,Intermediate,1,,CHEMBL623812,,BAO_0000218
9117,,Pharmacokinetic parameter Cmax was measured after administration into rat at 10 mg/kg,,,50597,,N,1,Intermediate,1,,CHEMBL877605,,BAO_0000218
9118,,Pharmacokinetic property (Cmax) in rat,,,50597,,N,1,Intermediate,1,,CHEMBL623813,,BAO_0000218
9119,,Pharmacokinetic property (Cmax) was measured in rat at the dose of 0.32 mg/kg p.o.,,,50597,,N,1,Intermediate,1,,CHEMBL623814,,BAO_0000218
9120,,Cmax in rat after 3mg/kg oral dose,,,50597,,N,1,Intermediate,1,,CHEMBL623815,,BAO_0000218
9121,,Clearance in Sprague-Dawley rats after 2mg/kg oral dose,,,50597,,N,1,Intermediate,1,,CHEMBL623816,,BAO_0000218
9122,,Cmax in rats after 20 mg/kg oral dose,,,50597,,N,1,Intermediate,1,,CHEMBL623145,,BAO_0000218
9123,,Cmax in rat plasma after 30mg/kg oral dose,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL623146,,BAO_0000218
9124,,Plasma concentration after oral administration of 100 mg/kg to rats,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL623147,,BAO_0000218
9125,,Tested for concentration in brain after intravenous administration (4.7 mg/kg) to male rats,955.0,,50597,,N,1,Intermediate,1,,CHEMBL623042,,BAO_0000218
9126,,Tested for the Cmax in rat at 10 mg/kg per orally,,,50597,,N,1,Intermediate,1,,CHEMBL623043,,BAO_0000218
9127,,"The Cmax value in female wistar rat at 100 mg/kg, p.o. dose",,,50597,,N,1,Intermediate,1,,CHEMBL623044,,BAO_0000218
9128,,"The Cmax value in male wistar rat at 100 mg/kg, p.o. dose",,,50597,,N,1,Intermediate,1,,CHEMBL623045,,BAO_0000218
9129,,Bioavailability as oral Cmax in rats at 30 mins,,,50597,,N,1,Intermediate,1,,CHEMBL623046,,BAO_0000218
9130,,Bioavailability as oral Cmax in rats at 6hr,,,50597,,N,1,Intermediate,1,,CHEMBL623226,,BAO_0000218
9131,,The maximum concentration of compound was measured at the dose of 100 umol/kg,,,50597,,N,1,Intermediate,1,,CHEMBL623227,,BAO_0000218
9132,,The maximum concentration of compound was measured at the dose of 300 umol/kg,,,50597,,N,1,Intermediate,1,,CHEMBL623228,,BAO_0000218
9133,,The maximum concentration of compound was measured at the dose of 30 umol/kg,,,50597,,N,1,Intermediate,1,,CHEMBL623229,,BAO_0000218
9134,,The maximum plasma levels for the compounds were determined by LC-MS.,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL623230,,BAO_0000218
9135,,mean peak plasma concentration was observed after intravenous administration in rat,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL623231,,BAO_0000218
9136,,mean peak plasma concentration was observed after oral administration in rat,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL623232,,BAO_0000218
9137,,Concentration in the plasma after intravenous administration of 1 mg/kg in rat,,,50597,,N,1,Intermediate,1,,CHEMBL623233,,BAO_0000218
9138,,Concentration in plasma (portal) following oral dose in rats at 0.25 hr,,,50597,,N,1,Intermediate,1,,CHEMBL623234,,BAO_0000218
9139,,Concentration in plasma (portal) following oral dose in rats at 1 hr,,,50597,,N,1,Intermediate,1,,CHEMBL623235,,BAO_0000218
9140,,Concentration in plasma (portal) following oral dose in rats at 2 hr,,,50597,,N,1,Intermediate,1,,CHEMBL623236,,BAO_0000218
9141,,Concentration in plasma (systemic) following oral dose in rats at 0.25 hr,,,50597,,N,1,Intermediate,1,,CHEMBL623237,,BAO_0000218
9142,,Concentration in plasma (systemic) following oral dose in rats at 1 hr,,,50597,,N,1,Intermediate,1,,CHEMBL623238,,BAO_0000218
9143,,Concentration in plasma (systemic) following oral dose in rats at 2 hr,,,50597,,N,1,Intermediate,1,,CHEMBL623239,,BAO_0000218
9144,,Compound was evaluated for the plasma concentration in rats versus time curves (AUC) in vivo,1969.0,,22224,,U,0,Intermediate,1,,CHEMBL623240,,BAO_0000218
9145,,"Concentration (30 mg/kg, p.o.) in rat hypothalamus after 2 hours",1898.0,,50597,,N,1,Intermediate,1,,CHEMBL623241,,BAO_0000218
9146,,"Concentration (30 mg/kg, p.o.) in rat hypothalamus after 6 hours",1898.0,,50597,,N,1,Intermediate,1,,CHEMBL623242,,BAO_0000218
9147,,"Concentration (30 mg/kg, p.o.) in rat plasma after 2 hours",,,50597,,N,1,Intermediate,1,,CHEMBL874394,,BAO_0000218
9148,,"Concentration (30 mg/kg, p.o.) in rat plasma after 6 hours",,,50597,,N,1,Intermediate,1,,CHEMBL623243,,BAO_0000218
9149,,Kidney concentration was determined after 5 min. of intravenous administration to rats (n=4) at dose of 20 mg/kg,,,50597,,N,1,Intermediate,1,,CHEMBL623244,,BAO_0000218
9150,,Radioactivity distribution in kidney of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 5 min,2113.0,,50597,,N,1,Intermediate,1,,CHEMBL623245,,BAO_0000218
9151,,Radioactivity distribution in kidney of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 60 min,2113.0,,50597,,N,1,Intermediate,1,,CHEMBL623246,,BAO_0000218
9152,,Radioactivity distribution in kidney of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 120 min,2113.0,,50597,,N,1,Intermediate,1,,CHEMBL623247,,BAO_0000218
9153,,Radioactivity distribution in kidney of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 5 min,2113.0,,50597,,N,1,Intermediate,1,,CHEMBL623248,,BAO_0000218
9154,,Radioactivity distribution in kidney of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 60 min,2113.0,,50597,,N,1,Intermediate,1,,CHEMBL623249,,BAO_0000218
9155,,Radioactivity distribution in liver of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 120 min.,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL625072,,BAO_0000218
9156,,Radioactivity distribution in liver of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 30 min.,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL625073,,BAO_0000218
9157,,Radioactivity distribution in liver of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 5 min.,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL625074,,BAO_0000218
9158,,Radioactivity distribution in liver of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 60 min.,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL625075,,BAO_0000218
9159,,Radioactivity distribution in liver of normal fischer rat after injection of [18F]-fluoro-2-methylpropanoic acid after 120 min.,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL625076,,BAO_0000218
9160,,Radioactivity distribution in liver of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 30 min.,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL625077,,BAO_0000218
9161,,Radioactivity distribution in liver of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 5 min.,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL625078,,BAO_0000218
9162,,Radioactivity distribution in liver of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 60 min.,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL874395,,BAO_0000218
9163,,Radioactivity distribution in liver of normal fischer rat after injection of anti-[18F]FMACBC after 120 min.,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL625079,,BAO_0000218
9164,,Radioactivity distribution in liver of normal fischer rat after injection of anti-[18F]FMACBC after 30 min.,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL625080,,BAO_0000218
9165,,Radioactivity distribution in liver of normal fischer rat after injection of anti-[18F]FMACBC after 5 min.,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL625081,,BAO_0000218
9166,,Radioactivity distribution in liver of normal fischer rat after injection of anti-[18F]FMACBC after 60 min.,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL625082,,BAO_0000218
9167,,Radioactivity distribution in liver of normal fischer rat after injection of syn-[18F]-FMACBC after 30 min.,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL625083,,BAO_0000218
9168,,Radioactivity distribution in liver of normal fischer rat after injection of syn-[18F]-FMACBC after 5 min.,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL625084,,BAO_0000218
9169,,Radioactivity distribution in liver of normal fischer rat after injection of syn-[18F]-FMACBC after 60 min.,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL625085,,BAO_0000218
9170,,Radioactivity distribution in liver of normal fischer rat after injection of syn-[18F]-FMACBC after 120 min.,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL625086,,BAO_0000218
9171,,Radioactivity distribution in liver of tumor-bearing fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 120 min,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL625087,,BAO_0000218
9172,,Radioactivity distribution in liver of tumor-bearing fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 5 min,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL625088,,BAO_0000218
9173,,Radioactivity distribution in liver of tumor-bearing fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 60 min,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL622205,,BAO_0000218
9174,,Radioactivity distribution in liver of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 120 min,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL622206,,BAO_0000218
9175,,Radioactivity distribution in liver of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 5 min,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL622207,,BAO_0000218
9176,,Radioactivity distribution in liver of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 60 min,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL622366,,BAO_0000218
9177,,Radioactivity distribution in liver of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 120 min,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL622367,,BAO_0000218
9178,,Radioactivity distribution in liver of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 5 min,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL875331,,BAO_0000218
9179,,Radioactivity distribution in liver of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 60 min,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL622368,,BAO_0000218
9180,,Radioactivity distribution in lung of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 120 min.,2048.0,,50597,,N,1,Intermediate,1,,CHEMBL622369,,BAO_0000218
9181,,Radioactivity distribution in lung of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 30 min.,2048.0,,50597,,N,1,Intermediate,1,,CHEMBL622370,,BAO_0000218
9182,,Radioactivity distribution in lung of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 5 min.,2048.0,,50597,,N,1,Intermediate,1,,CHEMBL622371,,BAO_0000218
9183,,Radioactivity distribution in lung of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 60 min.,2048.0,,50597,,N,1,Intermediate,1,,CHEMBL622372,,BAO_0000218
9184,,Radioactivity distribution in lung of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 120 min.,2048.0,,50597,,N,1,Intermediate,1,,CHEMBL622373,,BAO_0000218
9185,,Radioactivity distribution in lung of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 30 min.,2048.0,,50597,,N,1,Intermediate,1,,CHEMBL622374,,BAO_0000218
9186,,Radioactivity distribution in lung of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 5 min.,2048.0,,50597,,N,1,Intermediate,1,,CHEMBL622375,,BAO_0000218
9187,,Radioactivity distribution in lung of normal fischer rat after injection of [18F]-fluoro-2-methylpropanoic acid after 60 min.,2048.0,,50597,,N,1,Intermediate,1,,CHEMBL622376,,BAO_0000218
9188,,Radioactivity distribution in lung of normal fischer rat after injection of anti-[18F]FMACBC after 120 min.,2048.0,,50597,,N,1,Intermediate,1,,CHEMBL622377,,BAO_0000218
9189,,Radioactivity distribution in lung of normal fischer rat after injection of anti-[18F]FMACBC after 30 min.,2048.0,,50597,,N,1,Intermediate,1,,CHEMBL622378,,BAO_0000218
9190,,Radioactivity distribution in lung of normal fischer rat after injection of anti-[18F]FMACBC after 5 min.,2048.0,,50597,,N,1,Intermediate,1,,CHEMBL622379,,BAO_0000218
9191,,Radioactivity distribution in lung of normal fischer rat after injection of anti-[18F]FMACBC after 60 min.,2048.0,,50597,,N,1,Intermediate,1,,CHEMBL622380,,BAO_0000218
9192,,Radioactivity distribution in lung of normal fischer rat after injection of syn-[18F]-FMACBC after 120 min.,2048.0,,50597,,N,1,Intermediate,1,,CHEMBL622381,,BAO_0000218
9193,,Radioactivity distribution in lung of normal fischer rat after injection of syn-[18F]-FMACBC after 60 min.,2048.0,,50597,,N,1,Intermediate,1,,CHEMBL622382,,BAO_0000218
9194,,Radioactivity distribution in lung of tumor-bearing fischer rat after injection of [18F]-fluoro-2-methylpropanoic acid after 120 min,2048.0,,50597,,N,1,Intermediate,1,,CHEMBL622383,,BAO_0000218
9195,,pH of the gastric juice (Control value = 1.44+/-0.01) of stomach content of pylorus ligated rats was measured ( 5 mg/kg po of the Compound was administered 1 hr before the pylorus ligation),945.0,,50597,,N,1,Intermediate,1,,CHEMBL875332,,BAO_0000218
9196,,pH of the gastric juice (Control value = 1.44+/-0.01) of stomach content of pylorus ligated rats was measured (10 mg/kg po of the Compound was administered 1 hr before the pylorus ligation),945.0,,50597,,N,1,Intermediate,1,,CHEMBL622384,,BAO_0000218
9197,,pH of the gastric juice (control value = 1.39+/-0.02) of stomach content of pylorus ligated rats was measured (2.5 mg/kg po of the Compound was administered 1 hr before the pylorus ligation),945.0,,50597,,N,1,Intermediate,1,,CHEMBL622385,,BAO_0000218
9198,,pH of the gastric juice (control value = 1.39+/-0.02) of stomach content of pylorus ligated rats was measured (5 mg/kg po of the Compound was administered 1 hr before the pylorus ligation),945.0,,50597,,N,1,Intermediate,1,,CHEMBL622386,,BAO_0000218
