assay_id,curated_by,assay_tax_id,assay_test_type,src_id,tissue_id,assay_category,description,relationship_type,assay_subcellular_fraction,cell_id,doc_id,assay_type,assay_organism,assay_strain,assay_tissue,assay_cell_type
616,Autocuration,,,1,,,Effective concentration against human 5-hydroxytryptamine 1A receptor using cAMP as radioligand in CHO cells; nd=not determined,H,,449.0,17624,B,,,,CHO
617,Autocuration,,,1,,,In vitro potency at human 5-hydroxytryptamine 1A receptor in inhibiting forskolin-stimulated accumulation of intracellular cAMP,H,,,14256,F,,,,
618,Expert,9606.0,,1,,,Stimulation of [35S]- GIPyS binding to cloned human 5-hydroxytryptamine 1A receptor stably expressed in HeLa cells,D,,308.0,3445,B,Homo sapiens,,,HeLa
619,Expert,9606.0,,1,,,Stimulation of [35S]- GIPyS binding to cloned human 5-hydroxytryptamine 1A receptor stably expressed in HeLa cells; Inverse,D,,308.0,3445,B,Homo sapiens,,,HeLa
620,Expert,9606.0,,1,,,Tested for functional response on CHO cells expressing cloned human 5-hydroxytryptamine 1A receptor,D,,449.0,17200,B,Homo sapiens,,,CHO
621,Expert,9606.0,,1,,,Tested for functional response on CHO cells expressing cloned human 5-hydroxytryptamine 1A receptor; Not determined,D,,449.0,17200,B,Homo sapiens,,,CHO
622,Autocuration,,,1,,,Eudisimic ratio(ER) is the antilog of the defference between the pKb and pD2 values against 5-hydroxytryptamine 1A receptor,H,,,15180,F,,,,
623,Autocuration,,,1,,,Eudisimic ratio(ER) is the antilog of the difference between the pKb and pD2 values against 5-hydroxytryptamine 1A receptor,H,,,15180,F,,,,
624,Autocuration,,,1,,,"Percent of maximum effect on binding of [35S]GTP-gamma-S, to HeLa cell membranes expressing the human 5-hydroxytryptamine 1A receptor",H,,,16026,F,,,,
625,Autocuration,,,1,,,Agonistic efficacy was evaluated by adenylyl cyclase assay in CHO cells stably expressing the human 5-HT1A receptor,H,,449.0,2759,F,,,,CHO
626,Expert,9606.0,,1,,,Agonistic efficacy as adenylyl cyclase assay in CHO cells expressing human 5-HT1A receptor (experiment 1),D,,449.0,2759,F,Homo sapiens,,,CHO
627,Autocuration,,,1,,,Agonistic efficacy was evaluated by adenylyl cyclase assay in CHO cells stably expressing the human 5-HT1A receptor (experiment 2),H,,449.0,2759,F,,,,CHO
628,Expert,9606.0,,1,,,Agonistic efficacy in adenylyl cyclase assay in CHO cells expressing human 5-HT1A receptor (experiment 2),D,,449.0,2759,F,Homo sapiens,,,CHO
629,Autocuration,,,1,,,Antagonistic efficacy was evaluated by adenylyl cyclase assay in CHO cells stably expressing the human 5-HT1A receptor,H,,449.0,2759,F,,,,CHO
630,Autocuration,,,1,,,Antagonistic efficacy was evaluated by adenylyl cyclase assay in CHO cells stably expressing the human 5-HT1A receptor (experiment 1),H,,449.0,2759,F,,,,CHO
631,Expert,9606.0,,1,,,Antagonistic efficacy as adenylyl cyclase assay in CHO cells expressing human 5-HT1A receptor (experiment 1),D,,449.0,2759,F,Homo sapiens,,,CHO
632,Autocuration,,,1,,,Antagonistic efficacy was evaluated by adenylyl cyclase assay in CHO cells stably expressing the human 5-HT1A receptor (experiment 2),H,,449.0,2759,F,,,,CHO
633,Expert,9606.0,,1,,,Antagonistic efficacy as adenylyl cyclase assay in CHO cells expressing human 5-HT1A receptor (experiment 2),D,,449.0,2759,F,Homo sapiens,,,CHO
634,Expert,9606.0,,1,,,Percent efficacy against cloned human 5-hydroxytryptamine 1A receptor normalized to the maximal 5-HT response,D,,,3445,F,Homo sapiens,,,
635,Expert,9606.0,,1,,,"Agonist activity at the 5-hydroxytryptamine 1A receptor was determined in vitro using a [35S]GTP-gamma-S,",D,,,5272,F,Homo sapiens,,,
636,Expert,9606.0,,1,,,"Agonist activity at the 5-hydroxytryptamine 1A receptor in vitro using a [35S]GTP-gamma-S, No data",D,,,5272,F,Homo sapiens,,,
637,Expert,9606.0,,1,,,"Agonist activity at the 5-hydroxytryptamine 1A receptor determined in vitro using a [35S]GTP-gamma-S,",D,,,5272,F,Homo sapiens,,,
638,Autocuration,,,1,,,Agonistic effect against 5-HT1A receptor using cAMP as radioligand relative to 5-HT in inhibiting forskolin-stimulated adenylate cyclase activity in CHO cells,H,,449.0,17624,F,,,,CHO
639,Autocuration,,,1,,,Agonistic effect against 5-hydroxytryptamine 1A receptor using cAMP as radioligand relative to 5-HT in inhibiting forskolin-stimulated adenylate cyclase activity in CHO cells,H,,449.0,17624,F,,,,CHO
640,Autocuration,,,1,,,Agonistic effect against 5-hydroxytryptamine 1A receptor using cAMP as radioligand relative to 5-HT in inhibiting forskolin-stimulated adenylate cyclase activity in CHO cells; nd=Not determined,H,,449.0,17624,F,,,,CHO
641,Expert,,,1,,,Agonistic effect against 5-hydroxytryptamine 1A receptor using cAMP as radioligand relative to 5-HT in inhibiting forskolin-stimulated adenylate cyclase activity in CHO cells,H,,449.0,17624,F,,,,CHO
642,Autocuration,,,1,,,Agonistic effect against 5-hydroxytryptamine 1A receptor using cAMP as radioligand relative to 5-HT in inhibiting forskolin-stimulated adenylate cyclase activity in CHO cells; nd=Not determined,H,,449.0,17624,F,,,,CHO
643,Autocuration,,,1,,,Agonistic effect against 5-hydroxytryptamine 1A receptor using cAMP as radioligand relative to 5-HT in inhibiting forskolin-stimulated adenylate cyclase activity in CHO cells; nd=not determined,H,,449.0,17624,F,,,,CHO
644,Autocuration,,,1,,,Agonistic effect against 5-HT 1A receptor using [35S]GTP-gamma-S as radioligand in CHO cells relative to 5-HT,H,,449.0,17624,F,,,,CHO
645,Autocuration,,,1,,,Agonistic effect against 5-HT 1A receptor using [35S]GTP-gamma-S as radioligand in CHO cells relative to 5-HT; nd=Not determined,H,,449.0,17624,F,,,,CHO
646,Expert,,,1,,,Agonistic effect against 5-hydroxytryptamine 1A receptor using [35S]GTP-gamma-S as radioligand in CHO cells relative to 5-HT,H,,449.0,17624,F,,,,CHO
647,Autocuration,,,1,,,Agonistic effect against 5-hydroxytryptamine 1A receptor using [35S]GTP-gamma-S as radioligand in CHO cells relative to 5-HT; nd=not determined,H,,449.0,17624,F,,,,CHO
648,Autocuration,,,1,,,Agonistic effect against 5-hydroxytryptamine 1A receptor using [35S]GTP-gamma-S as radioligand in CHO cells relative to 5-HT,H,,449.0,17624,F,,,,CHO
649,Autocuration,,,1,,,Agonistic effect against 5-hydroxytryptamine 1A receptor using [35]GTPgammaS as radioligand in CHO cells relative to 5-HT; nd=Not determined,H,,449.0,17624,F,,,,CHO
650,Autocuration,,,1,,,"Agonistic activity of compound towards 5-hydroxytryptamine 1A receptor was evaluated by [35S]GTP-gamma-S, stimulated cAMP assay",H,,,6563,F,,,,
651,Autocuration,,,1,,,"Agonistic activity of compound towards 5-hydroxytryptamine 1A receptor was evaluated by [35S]GTP-gamma-S, stimulated cAMP assay",H,,,6563,F,,,,
652,Autocuration,,,1,,,Agonistic activity of compound towards 5-hydroxytryptamine 1A receptor was evaluated by forskolin stimulated cAMP assay,H,,,6563,F,,,,
653,Autocuration,,,1,,,Binding affinity against human 5-hydroxytryptamine 1A receptors HEK 293 cell membranes using [35S]GTP gamma-S,H,,722.0,17296,F,,,,HEK293
654,Expert,9606.0,,1,,,"Evaluated for stimulation at 1 uM concentration expressed as percent of the maximal [35S]GTP-gamma-S, binding induced by 5-hydroxytryptamine",D,,,6876,F,Homo sapiens,,,
655,Expert,,,1,,,"Stimulation of percent maximal [35S]GTP-gamma-S, binding induced by 5-hydroxytryptamine at 1 uM; nd = not determined",H,,,6876,F,,,,
656,Expert,9606.0,,1,,,In vitro agonist activity at the 5-hydroxytryptamine 1A receptor,D,,,5272,F,Homo sapiens,,,
657,Expert,9606.0,,1,,,In vitro agonist activity at the 5-hydroxytryptamine 1A receptor; No data,D,,,5272,F,Homo sapiens,,,
658,Autocuration,,,1,,,"Maximal response as a result of 5-HT1A receptor-mediated stimulation of [35S]GTP-gamma-S, binding; Not determined",H,,,5548,F,,,,
659,Expert,,,1,,,"Maximal response as a result of 5-hydroxytryptamine 1A receptor-mediated stimulation of [35S]GTP-gamma-S, binding",H,,,5548,F,,,,
660,Autocuration,,,1,,,"Maximal response as a result of 5-hydroxytryptamine 1A receptor-mediated stimulation of [35S]GTP-gamma-S, binding; Not determined",H,,,5548,F,,,,
661,Autocuration,,,1,,,"Maximal response as a result of 5-hydroxytryptamine 1A receptor-mediated stimulation of [35S]GTP-gamma-S, binding; Not determined",H,,,5548,F,,,,
662,Expert,,,1,,,"Maximal stimulation of expressed human 5-hydroxytryptamine 1A receptor assayed by [35S]GTP-gamma-S, binding",H,,,5929,F,,,,
663,Expert,9606.0,,1,,,"Maximal response towards 5-hydroxytryptamine 1A receptor in human using [35S]GTP-gamma-S, as radioligand; ND means not determined",D,,,5929,F,Homo sapiens,,,
664,Expert,9606.0,,1,,,"Maximal response towards 5-hydroxytryptamine 1A receptor in human using [35S]GTP-gamma-S, as radioligand; ND=Not determined",D,,,5929,F,Homo sapiens,,,
665,Autocuration,,,1,,,"Maximal stimulation was expressed as percentage of the maximal 5-HT response in the [35S]GTP-gamma-S, binding assay on 5-hydroxytryptamine 1A receptor",H,,,16245,F,,,,
666,Expert,,,1,,,"Inhibition of 5-HT induced [35S]GTP-gamma-S, binding at human cloned 5-HT 1A receptors.",H,,,5640,F,,,,
667,Autocuration,,,1,,,"5-hydroxytryptamine 1A receptor antagonism was evaluated by the ability to inhibit [35S]GTP-gamma-S, binding that was induced by 5-HT; Emin (%): not determined",H,,,5640,F,,,,
668,Autocuration,,,1,,,Antagonist activity was measured against CHO cells expressing the human 5-hydroxytryptamine 1A receptor in a forskolin stimulated adenylate cyclase (FSC) assay,H,,449.0,14509,F,,,,CHO
669,Expert,,,1,,,Antagonist activity against CHO cells expressing the human 5-hydroxytryptamine 1A receptor in a forskolin stimulated adenylate cyclase (FSC) assay.,H,,449.0,14509,F,,,,CHO
670,Autocuration,,,1,,,Affinity of compound towards 5-hydroxytryptamine 1A receptor was evaluated using radioligand binding technique,H,,,15331,B,,,,
671,Autocuration,,,1,,,Affinity of compound towards 5-hydroxytryptamine 1A receptor was evaluated using radioligand binding technique,H,,,15331,B,,,,
672,Autocuration,,,1,,,"Agonistic activity of compound towards 5-hydroxytryptamine 1A receptor was evaluated by [35S]GTP-gamma-S, stimulated cAMP assay",H,,,6563,F,,,,
673,Autocuration,,,1,,,"Agonistic activity of compound towards 5-hydroxytryptamine 1A receptor was evaluated by [35S]GTP-gamma-S, stimulated cAMP assay; NA indicates not available",H,,,6563,F,,,,
674,Autocuration,,,1,,,Agonistic activity of compound towards 5-hydroxytryptamine 1A receptor was evaluated by forskolin stimulated cAMP assay,H,,,6563,F,,,,
675,Expert,9606.0,,1,,,Forskolin stimulated cAMP assessment of agonist activity for 5-hydroxytryptamine 1A receptor,D,,,6563,F,Homo sapiens,,,
676,Autocuration,,,1,,,"Agonistic activity of compound towards 5-hydroxytryptamine 1A receptor was evaluated by [35S]GTP-gamma-S, stimulated cAMP assay",H,,,6563,F,,,,
677,Expert,9606.0,,1,,,Antagonism of 5-hydroxytryptamine 1A receptor determined in vitro,D,,,5272,F,Homo sapiens,,,
678,Expert,9606.0,,1,,,"Antagonism of 5-hydroxytryptamine 1A receptor was determined in vitro using a [35S]GTP-gamma-S,",D,,,5272,F,Homo sapiens,,,
679,Expert,9606.0,,1,,,"Antagonism at the 5-hydroxytryptamine 1A receptor determined in vitro using a [35S]GTP-gamma-S, No data",D,,,5272,F,Homo sapiens,,,
680,Expert,9606.0,,1,,,Antagonism at the 5-hydroxytryptamine 1A receptor was determined in vitro; No data,D,,,5272,F,Homo sapiens,,,
681,Expert,9606.0,,1,,,Antagonism at the 5-hydroxytryptamine 1A receptor in vitro,D,,,5272,F,Homo sapiens,,,
682,Expert,9606.0,,1,,,"Antagonism at the 5-hydroxytryptamine 1A receptor was determined in vitro using a [35S]GTP-gamma-S,",D,,,5272,F,Homo sapiens,,,
683,Expert,9606.0,,1,,,"Antagonism at the 5-hydroxytryptamine 1A receptor determined in vitro using a [35S]GTP-gamma-S, No data",D,,,5272,F,Homo sapiens,,,
684,Expert,9606.0,,1,,,Antagonism at the 5-hydroxytryptamine 1A receptor determined in vitro; No data,D,,,5272,F,Homo sapiens,,,
685,Expert,9606.0,,1,,,Inhibition of human 5-hydroxytryptamine 1A receptor,D,,,16146,B,Homo sapiens,,,
686,Autocuration,,,1,,,Binding affinity against 5-hydroxytryptamine 1A receptor using cAMP as radioligand in CHO cells,H,,449.0,17624,B,,,,CHO
687,Expert,,,1,,,Displacement of [3H]-5-HT from human 5-hydroxytryptamine 1D receptor alpha expressed in HEK 293 cells,D,,722.0,13706,B,,,,HEK293
688,Autocuration,,,1,,,Compound was tested for the displacement of [3H]5-HT binding to cloned 5-hydroxytryptamine 1A receptor stably expressed in CHO cells,H,,449.0,15250,B,,,,CHO
689,Autocuration,,,1,,,Effective concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing 5-hydroxytryptamine 1A receptor,H,,449.0,17624,F,,,,CHO
690,Expert,,,1,,,In vitro binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT in human CYP3A4 assay,H,,,6861,B,,,,
691,Expert,9606.0,,1,,,In vitro inhibitory concentration required against [3H]8-OH-DPAT binding to cloned human 5-hydroxytryptamine 1A receptor,D,,,17200,B,Homo sapiens,,,
692,Autocuration,,,1,,,Inhibition concentration against 5-HT 1A receptor using cAMP as radioligand in CHO cells,H,,449.0,17624,B,,,,CHO
693,Autocuration,,,1,,,Inhibition concentration against 5-hydroxytryptamine 1A receptor using cAMP as radioligand in CHO cells,H,,449.0,17624,B,,,,CHO
694,Autocuration,10116.0,In vivo,1,,,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain hemispheral area by po administration,U,,,12058,F,Rattus norvegicus,,,
695,Autocuration,10116.0,In vivo,1,,,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain hemispheral area by po administration; Inactive,U,,,12058,F,Rattus norvegicus,,,
696,Autocuration,10116.0,In vivo,1,,,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain hemispheral area by sc administration,U,,,12058,F,Rattus norvegicus,,,
697,Autocuration,10116.0,In vivo,1,,,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain hemispheral area by sc administration; Inactive,U,,,12058,F,Rattus norvegicus,,,
698,Autocuration,10116.0,In vivo,1,,,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain hemispheral area by sc administration; Partial response at the highest dose tested,U,,,12058,F,Rattus norvegicus,,,
699,Autocuration,10116.0,In vivo,1,,,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain hemispheral area by sc administration; Inactive,U,,,12058,F,Rattus norvegicus,,,
700,Autocuration,10116.0,In vivo,1,,,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain limbic area by po administration,U,,,12058,F,Rattus norvegicus,,,
701,Autocuration,10116.0,In vivo,1,,,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain limbic area by po administration; Inactive,U,,,12058,F,Rattus norvegicus,,,
702,Autocuration,10116.0,In vivo,1,,,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain limbic area by sc administration,U,,,12058,F,Rattus norvegicus,,,
703,Autocuration,10116.0,In vivo,1,,,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain limbic area by sc administration; Inactive,U,,,12058,F,Rattus norvegicus,,,
704,Autocuration,10116.0,In vivo,1,,,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain limbic area by sc administration; partial response at the highest dose tested,U,,,12058,F,Rattus norvegicus,,,
705,Autocuration,10116.0,In vivo,1,,,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain striatal area by po administration,U,,,12058,F,Rattus norvegicus,,,
706,Autocuration,10116.0,In vivo,1,,,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain striatal area by po administration; Inactive,U,,,12058,F,Rattus norvegicus,,,
707,Autocuration,10116.0,In vivo,1,,,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain striatal area by po administration; Partial response at the highest dose tested,U,,,12058,F,Rattus norvegicus,,,
708,Autocuration,10116.0,In vivo,1,,,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain striatal area by sc administration,U,,,12058,F,Rattus norvegicus,,,
709,Autocuration,10116.0,In vivo,1,,,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain striatal area by sc administration; Inactive,U,,,12058,F,Rattus norvegicus,,,
710,Autocuration,10116.0,In vivo,1,,,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain striatal area by sc administration; Partial response at the highest dose tested,U,,,12058,F,Rattus norvegicus,,,
711,Autocuration,10116.0,In vivo,1,,,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain striatal area by sc administration; partial response at the highest dose tested,U,,,12058,F,Rattus norvegicus,,,
712,Autocuration,10116.0,In vivo,1,,,Effective dose for half-maximal decrease in the accumulation of 5-hydroxytryptophan (5-HTP) in reserpinized rat brain hemispheral area by po administration,U,,,12058,F,Rattus norvegicus,,,
713,Autocuration,,,1,,,Affinity in displacing [125I](R)-DOI from rat cortical homogenate 5-HT2 receptor.,H,,,11440,B,,,,
714,Autocuration,,,1,1898.0,,Binding affinity towards 5-HT 7 receptor in rat hypothalamus membranes using [3H]5-CT as radioligand,H,,,6238,B,,,Hypothalamus,
715,Autocuration,,,1,,,Inhibitory activity against 5-HT1B receptor of rat striatal membrane homogenate using [3H]5-HT as the radioligand; nd is No Data,H,,,10046,B,,,,
716,Autocuration,,,1,,,Inhibitory activity against 5-hydroxytryptamine 1B receptor of rat striatal membrane homogenate using [3H]5-HT as the radioligand; nd is No Data.,H,,,10046,B,,,,
717,Expert,,,1,,,Inhibitory activity against 5-hydroxytryptamine 1B receptor of rat striatal membrane homogenate using [3H]5-HT as the radioligand.,H,,,10046,B,,,,
718,Autocuration,,,1,,,"Inhibitory activity against human whole blood, LTB4 5-lipoxygenase was evaluated",H,,,167,B,,,,
719,Autocuration,,,1,,,"Inhibitory activity against intact human PMNL, LTB4 5-lipoxygenase was evaluated",H,,,167,B,,,,
720,Autocuration,,,1,,,Compound was evaluated for the inhibition of 5-LO (lipoxygenase),H,,,11520,F,,,,
721,Autocuration,,,1,,,Compound was evaluated for the inhibition of 5-LO (5-lipoxygenase).,H,,,11520,F,,,,
722,Autocuration,,,1,,,Compound was evaluated for the inhibition of 5-LO (5-lipoxygenase).,H,,,11520,F,,,,
723,Autocuration,,,1,,,Compound was evaluated for the inhibition of 5-LO (5-lipoxygenase).,H,,,11520,F,,,,
724,Autocuration,10141.0,,1,,,Inhibition of [14C]arachidonic acid conversion to 5-HETE by broken cell 5-LO isolated from guinea pig PMN,H,,,135,F,Cavia porcellus,,,
725,Autocuration,10141.0,,1,,,Inhibition of [14C]arachidonic acid conversion to 5-HETE by broken cell 5-LO isolated from guinea pig PMN; not active at the highest concentration (3 ug/mL) tested; No activity,H,,,135,F,Cavia porcellus,,,
726,Autocuration,10141.0,,1,,,The compound was tested for inhibitory activity against 5-Lipoxygenase in guinea pig polymorphonuclear leukocytes,H,,,11311,B,Cavia porcellus,,,
727,Autocuration,10141.0,,1,,,In vitro inhibitory activity against polymorphonuclear leukocyte 5-lipoxygenase using guinea pig supernatant at 10 uM,H,,,10193,B,Cavia porcellus,,,
728,Expert,9606.0,,1,,,Inhibitory concentration against 5-lipoxygenase from human whole blood,D,,,12281,B,Homo sapiens,,,
729,Autocuration,,,1,,,The compound was tested for inhibitory activity against 5-Lipoxygenase in human polymorphonuclear leukocytes[PMNS],H,,,11311,B,,,,
730,Autocuration,,,1,,,In vivo inhibition of 5-lipoxygenase (LTC4) in the mouse zymosan peritonitis assay at an oral dose of 30 mg/Kg,H,,,12576,F,,,,
731,Autocuration,,,1,,,Inhibitory concentration against 5-lipoxygenase from mouse macrophage,H,,,12281,B,,,,
732,Autocuration,,,1,,,In vivo inhibition of 5-lipoxygenase (LTC4) in the mouse zymosan peritonitis assay at an oral dose of 30 mg/Kg,H,,,12576,F,,,,
733,Expert,9823.0,,1,,,Inhibition of arachidonate 5-lipoxygenase purified from porcine leukocytes.,H,,,11089,B,Sus scrofa,,,
734,Expert,,,1,,,In vitro inhibition of rat 5-Lipoxygenase,H,,,11006,B,,,,
735,Expert,10116.0,,1,,,Inhibitory activity against 5-Lipoxygenase,D,,,11481,B,Rattus norvegicus,,,
736,Expert,,,1,,,Inhibitory activity against 5-lipoxygenase in rat basophilic leukemia cells,H,,702.0,10864,B,,,,RBL-1
737,Autocuration,,,1,,,Inhibitory activity against 5-lipoxygenase (5-LO) in intact rat barophilic leukemia cells (RBL-1),H,,702.0,3595,B,,,,RBL-1
738,Autocuration,,,1,,,The compound was tested for inhibitory activity against 5-Lipoxygenase in rat RBL-1,H,,702.0,11311,B,,,,RBL-1
739,Autocuration,,,1,,,The compound was tested for inhibitory activity against 5-Lipoxygenase in rat blood,H,,,11311,B,,,,
740,Autocuration,,,1,,,The compound was tested for inhibitory activity against 5-Lipoxygenase receptor in rat polymorphonuclear leukocytes[PMNS],H,,,11311,B,,,,
741,Autocuration,,,1,,,Compound was evaluated for the inhibition of 5-Lipoxygenase (5-LO) in vitro at 1 uM,H,,,11006,B,,,,
742,Autocuration,,,1,,,Inhibitory activity against 5-lipoxygenase (5-LO) using broken rat barophilic leukemia cells (RBL-1)at 10 uM,H,,702.0,3595,B,,,,RBL-1
743,Autocuration,,,1,,,The compound was tested for inhibition of isolated 5-Lipoxygenase,H,,,11311,B,,,,
744,Autocuration,10116.0,,1,,,Ratio of IC50 against 5-LO and COX,U,,,11481,B,Rattus norvegicus,,,
745,Autocuration,,,1,,,Compound was evaluated for the inhibition of 5-Lipoxygenase (5-LO) in vitro at 1 uM,H,,,11006,B,,,,
746,Autocuration,,,1,,,Compound was evaluated for the inhibition of 5-Lipoxygenase (5-LO) in vitro at 1 uM; range is 20-35%,H,,,11006,B,,,,
747,Autocuration,,,1,,,The compound was tested for inhibition against 5-Lipoxygenase in rat polymorphonuclear leukocytes at 10 uM concentration,H,,,11311,B,,,,
748,Autocuration,,,1,,,Compound was evaluated for the inhibition of 5-Lipoxygenase (5-LO) ex vivo,H,,,11006,F,,,,
749,Autocuration,,,1,2367.0,,Compound was tested for the inhibition of type 2 5-alpha-reductase of human prostates,H,,,4288,B,,,Prostate gland,
750,Autocuration,8932.0,,1,,,Percent inhibition was measured against 5-amino-4-imidazolecarboxamide ribotide transformylase(pigeon liver) enzyme at 10E-4 M inhibitory concentration,U,,,7587,B,Columba livia,,,
751,Autocuration,8932.0,,1,,,Percent inhibition was measured against 5-amino-4-imidazolecarboxamide ribotide transformylase(pigeon liver) enzyme at 10E-5 M inhibitory concentration,U,,,7587,B,Columba livia,,,
752,Autocuration,8932.0,,1,,,Percent inhibition was measured against 5-amino-4-imidazolecarboxamide ribotide transformylase(pigeon liver) enzyme.,U,,,7587,B,Columba livia,,,
753,Autocuration,,,1,,,Compound was evaluated for the inhibition of 5-aminoimidazole-4-carboxamide ribonucleotide transformylase obtained from human at 100 uM,H,,,11249,B,,,,
754,Expert,10116.0,,1,,,Effect on synaptosomal uptake inhibition of 5-hydroxytryptamine (5-HT); NT = Not Tested,D,,,8003,F,Rattus norvegicus,,,
755,Expert,10116.0,,1,,,Effect on synaptosomal uptake inhibition of 5-hydroxytryptamine (5-HT),D,,,8003,F,Rattus norvegicus,,,
756,Expert,10116.0,,1,,,Effect on synaptosomal uptake inhibition of 5-hydroxytryptamine (5-HT),D,,,8003,F,Rattus norvegicus,,,
757,Expert,,,1,10000000.0,,In vitro affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand in hippocampus,H,,,12416,B,,,Hippocampus,
758,Autocuration,,,1,,,Binding affinity towards human 5-hydroxytryptamine 1 receptor,H,,,16293,B,,,,
759,Autocuration,9986.0,,1,,,Intrinsic activity against 5-hydroxytryptamine 1 receptor using rabbit saphenous vein assay.,U,,,13047,B,Oryctolagus cuniculus,,,
760,Autocuration,9986.0,,1,,,Binding affinity against 5-hydroxytryptamine 1 receptor using rabbit saphenous vein assay.,U,,,13047,B,Oryctolagus cuniculus,,,
761,Autocuration,9986.0,,1,,,Binding affinity against 5-hydroxytryptamine 1D receptor using rabbit saphenous vein assay.,U,,,13047,B,Oryctolagus cuniculus,,,
762,Autocuration,9986.0,,1,,,Binding affinity against 5-hydroxytryptamine 4 receptor using rabbit saphenous vein assay.,U,,,13047,B,Oryctolagus cuniculus,,,
763,Autocuration,,,1,10000000.0,,Ability to bind at 5-hydroxytryptamine 1 receptor of rat hippocampus by displacing [3H]5-HT,H,,,10085,B,,,Hippocampus,
764,Autocuration,,,1,10000000.0,,Ability to bind at 5-hydroxytryptamine 1 receptor of rat hippocampus by displacing [3H]5-HT,H,,,10085,B,,,Hippocampus,
765,Autocuration,,,1,10000000.0,,Ability to bind at serotonin 5-hydroxytryptamine 1 receptor of rat hippocampus by displacing [3H]5-HT,H,,,10085,B,,,Hippocampus,
766,Autocuration,,,1,,,Ability to inhibit binding of titreated serotonin to the 5-hydroxytryptamine 1 receptor in rat brain frontal cortex membranes,H,Membranes,,9841,B,,,,
767,Autocuration,10116.0,,1,,,Binding affinity towards 5-hydroxytryptamine 1 receptor in brain cortical membranes of rat,D,,,8822,B,Rattus norvegicus,,,
768,Autocuration,10116.0,,1,,,Binding affinity towards 5-hydroxytryptamine 1 receptor in rat frontal cortex homogenates using [3H]5-HT as a radioligand,D,,,9806,B,Rattus norvegicus,,,
769,Autocuration,10116.0,,1,,,Binding affinity towards 5-hydroxytryptamine 1 receptor using [3H]5-HT as a radioligand from rat frontal cortex homogenates,D,,,9806,B,Rattus norvegicus,,,
770,Autocuration,,,1,,,Binding affinity towards 5-hydroxytryptamine 1 receptor was measured using radioligand ([3H]5-HT) binding assay,H,,,8868,B,,,,
771,Autocuration,,,1,10000000.0,,Binding affinity towards hippocampus 5-hydroxytryptamine 1 receptor was measured using radioligand [3H]5-HT,H,,,9036,B,,,Hippocampus,
772,Autocuration,,,1,10000000.0,,Compound was evaluated for the inhibition of [3H]5-HT (concentration of 12 nM) specific binding to rat hippocampus,H,,,11374,B,,,Hippocampus,
773,Autocuration,,,1,,,Inhibitory activity against 5-hydroxytryptamine 1 receptor by 3H ligand binding experiments.,H,,,10881,B,,,,
774,Autocuration,,,1,,,Tested for its binding affinity towards 5-hydroxytryptamine 1 receptor in rat,H,,,8822,B,,,,
775,Autocuration,10116.0,,1,,,Tested for its binding affinity towards 5-hydroxytryptamine 1 receptor in rat cortical membrane homogenates using radioligand ([3H]5-HT) binding assay.,D,,,9806,B,Rattus norvegicus,,,
776,Autocuration,,,1,,,Compound at 1 uM was tested for the inhibition of radioligand [3H]5-HT binding to 5-hydroxytryptamine 1 receptor in rat cerebral cortex,H,,,15463,B,,,,
777,Autocuration,,,1,,,Compound at 1 uM was tested for the inhibition of radioligand [3H]5-HT binding to 5-hydroxytryptamine 1 receptor in rat cerebral cortex,H,,,15463,B,,,,
