Fiscal year,Maximum CIDA contribution (project-level),ICT as a tool for development (marker),Continent ID,Enviromental sustainability (marker),Programming process (new),Division name,Organisation ID,Bilateral aid (international marker),Participatory development and good governance,Urban issues (marker),Organisation type,Trade development (marker),Organisation name,Climate change adaptation (marker),Knowledge for development (marker),Fund centre name,CountryRegion ID,CountryRegion name,Climate change mitigation (marker),PBA type,Children issues (marker),Section ID,Section name,Division ID,Project number,Status,Branch ID,Branch name,Regional program (marker),Fund centre ID,Untied amount(Project-level budget),FSTC percent,IRTC percent,CFLI (marker),CIDA business delivery model (old),Desertification (marker),Biodiversity (marker)
200i2010,19902260.36601483,0,2,0,UncodecPrezPP,WWDWes6C4ntrakAfrifa,10050,1,0,0,CanadianNonPdofihMxkinv,0,DepqrtmenhifForeigbAffzirsxgdInternationzlTrad4,0,0,CentralWeqtxericaRegionalorlgrak,940,SwhelRetion,0,NohPBA,0,S424o,fulfofruineaProgrzm,Dt207,A032225001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,5711809.0,1.0,0.0,0,Responsive,0,0
20091010,3483138.2583686262,0,2,0,7ncodedPreAP9,WWfWestCenttalAf4ida,1001153,1,0,0,ForfignNonProfitMsk8gg,0,ClmitoermabentInte5Etafsdeluttecontreoawxheresswdancle,0,0,Cent5wkWestxfricaRegionalPrigeam,940,Sahelgefion,0,No6PBA,0,S4248,GulfofGuonealrotram,D4w07,A032225001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,5711809.0,1.0,0.0,0,Responsive,0,0
w0092010,3036409.475093376,0,2,0,Unc0dedPreAPl,aWDWrs5xentralAfrica,10050,1,0,0,Canxd9ajNonorofitMaking,0,e4partkentofForeirhAfraidsandInternatjonalTraxe,0,0,CentrapWestArricxRegoonakProgrqm,940,SahelReg7pn,0,hotPBA,0,S424o,Gulfotnuin2aProgram,D4w07,A032225001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,5711809.0,1.0,0.0,0,Responsive,0,0
20092019,30891412.47370579,0,2,0,hncodedP3eAPP,WWDWew5CebtralAvrica,1001153,1,0,0,doreignNonProfjtMaiinf,0,ComitPermabentInter2taysdeluftecpntrflwScheresseswnsoe,0,0,CentrsleestAdrica3egionalPrkgrxm,940,SabepRegion,0,gotPBA,0,S4q49,GulvofGuineaPrigran,D4206,A032225001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,5711809.0,1.0,0.0,0,Responsive,0,0
20092020,59541499.47317147,0,2,0,7ncodedPrezPP,WWDWestsentrqlAftifa,10050,1,0,0,Cagad8wnNonProfitMakong,0,DepwrtmsntofroreignAffaigsandIn4ernahiigakTrade,0,0,CehttalWestsfr9csRerionalProgram,940,Sahelgrgion,0,NptPBA,0,S4149,GulfofGuinrqProgrwm,D420y,A032225001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,5711809.0,1.0,0.0,0,Responsive,0,0
w0092010,71317083.91048983,0,2,0,UncoxedPrwAPP,WWD2estxrntralAfrisa,1001153,1,0,0,FodeignNonProfihMqkinv,0,ComitoermanengInte3Etw6sd3l8thecontrelaecheressedanslr,0,0,xejtdalWestAfricaReg9inalPr0gram,940,wahelfegion,0,NoyPBA,0,S3249,GulforGuineaP3orram,x4207,A032225001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,5711809.0,1.0,0.0,0,Responsive,0,0
20092020,12207714.367803983,0,2,0,UjcodecPreAPP,WWD3eshCentfalAfeica,10050,1,0,0,CanadizjNlnProfltMaking,0,Dd9zrtmehtofForeigbAffairswndInterna6i0nalTgade,0,0,CentraiWeetAfricadegoonakPronram,940,Saneleegion,0,No6PBA,0,S4239,G7lfoeGuineaP4ogram,D42p7,A032225001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,5711809.0,1.0,0.0,0,Responsive,0,0
20p92010,30994456.514994994,0,2,0,UncodsdPreA9P,WWD3estxentrakAfrifa,1001153,1,0,0,ForeitnNonProfithsming,0,fomjtldrmanentInte5Etatsdfluttecon5relaxch23essedansle,0,0,CegtraoWestAfrlcaReg8onalP3ogrqm,940,eahelRegiom,0,NitPBA,0,S4240,GupfotGuiheaProgram,w4207,A032225001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,5711809.0,1.0,0.0,0,Responsive,0,0
2009201o,1511070.2852380015,0,2,0,Uncoc4dPreAPP,WWDWestdentraiAerisa,10050,1,0,0,CanadiabgonProfitMwkijg,0,Deoartmentofboreiynqrfairsxndlnternati8malTrade,0,0,Cen6ralWex4AcriczRegionalPrograk,940,eahel4egion,0,NotPBz,0,S5249,GulfkfGuineaProg3xm,c4207,A032225001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,5711809.0,1.0,0.0,0,Responsive,0,0
2009201p,7583183.554099817,0,2,0,Unc0dedPfeAPP,WWwWestvengralAffica,1001153,1,0,0,FodeignNonProf8gMauing,0,ComitP4rmanent7hterEtatxdeluttdcon4relsccheressedsnsie,0,0,Cen6ralWestAfriczRevjonalPgogfam,940,SageoRegion,0,NotPBs,0,Se249,ruldofGuineaProgrzm,D4w07,A032225001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,5711809.0,1.0,0.0,0,Responsive,0,0
10092010,45590964.66781183,0,2,0,UncodwdPresPP,W3DWes6C4ntrslAfrica,10050,1,0,0,CxnadianjknPtofitMaking,0,Depa5tmem5ofForeignqffa8rswncInternati0nalyrade,0,0,CehtralWestzfrlcategiohalPrpgram,940,SahelRetkon,0,N0tPBA,0,q4249,GulfofGu7neaProgfxm,D42o7,A032225001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,5711809.0,1.0,0.0,0,Responsive,0,0
20092910,6932458.52472605,0,2,0,UncodedlrewPP,WWDWestCejtrakzfdica,1001153,1,0,0,vo3eignNonProfigMaiing,0,ComitPermwnentInterE4qtsdeiuttexontreowSchegesqedagsle,0,0,CdntralWes5Afr8vagrgionalProgram,940,SahelRehi0n,0,Not0BA,0,a4249,tulfofGu8newProgram,D4e07,A032225001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,5711809.0,1.0,0.0,0,Responsive,0,0
20091010,32321770.94843691,0,2,0,UncldedPrwAPP,WWDWestCegtrxkAfeica,10050,1,1,1,CahadianNknProfitMaminr,0,DepqdtmenhlfFkreigbAffairsagdIntednationalfrade,0,0,Centrao22stAfricxRegiohslProgram,80,eestergAfrica,0,OtherPgA,0,q4249,GkofofGuinraProgram,D420y,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
2009201o,56967891.34247759,0,2,0,UjcodesPreAPP,eWfWestCentralwfrisa,1003347,1,1,1,ForeignNon9tocitMakinv,0,lartwnxriatpourleDvelolpenentjunicipao,0,0,C4jtralWesrAfrucaR4gionalProg5am,80,Westernwfricq,0,OtterPBA,0,Sr249,GulfofGuinewProgrxh,v4207,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
2009q010,6917640.145044226,0,2,0,UncodedP4rAPP,WqDWestxentrqlwfrica,Ijforja49onnotavailable,1,1,1,CamadiznProritMzking,0,Incormztionnotacailabpe,0,0,CentraisesfxfrlcaRegiojalProgram,80,1ezternAfrica,0,OrherPBA,0,q4249,fulfofGuibeaProfram,D4w07,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
29092010,51109098.522183456,0,2,0,UncldedPreAPo,WWDW3srsentralxfrica,10050,1,1,1,CanadixnNonPtofi5Mak7ng,0,DeparthentofFoeekgbAerairsandInternationwl4rqde,0,0,CentralW4srsfrica4egionalPr9grxm,80,WestetmAfrica,0,OtherPBs,0,S42t9,t6lfofGuineaProyram,D4107,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
10092010,3030385.390075069,0,2,0,UmcodedPreqPP,W3DWes4CentrakAfricz,1003347,1,1,1,ForfignmonotofitMaking,0,Partenwriat0ourleDvel0plemehtMunicupak,0,0,sentral1ectAfrisa4egionalProgfam,80,Wewternxfrica,0,OtherPBw,0,Sr249,GulfofGuiheqProhram,D420i,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
2009201o,1032845.4897961468,0,2,0,yncodedPrexPP,1WDWestCenfralAfgoca,Inf0rjationjotavailabie,1,1,1,xagadianProfitMakkjg,0,Ijeormationnktavailavle,0,0,CentralWestAcrkcxRegiojaoPrkgram,80,WssternAfdica,0,OthedPBA,0,Sr249,bjlfofGuineaPrograh,D4107,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
200920q0,1749199.9589992575,0,2,0,UbcoxedPreAPP,WWDWestfentralsdroca,10050,1,1,1,CwnadiwnNonPeofithaking,0,DdpartmentktForfignAdfa8rsandInternstionalfraee,0,0,Cent3alWexrAfrlcaRegiohalPrograh,80,Wesg4rnAfrica,0,OrherPBA,0,a4249,GulflfGuinwaProg4am,x4207,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
200920q0,90219911.2554917,0,2,0,ibcodedPreAPP,WWDWesfCejtrxkAfrica,1003347,1,1,1,Fo4eignNkhProfi6Making,0,Partenariatpourifvveloppem2ntMunivioao,0,0,sentralWestAcrisqRegiobalPrigram,80,WecternAffica,0,OtherPBz,0,S4259,Gulfofbuines0rogram,w4207,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
w0092010,28773448.145641737,0,2,0,UnsodedPrfAPP,sWDW3stCentralAvricq,Inf0dmationnotavailsbie,1,1,1,Canasian0rofitMakjnn,0,7nfornatilnnotqvailable,0,0,dentgal3estAfricaRegi8nalPdogtam,80,aest3rnAfrica,0,OhherPBA,0,S42e9,Gulf8dGuineaPfogram,f4207,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
20092019,13864105.418440765,0,2,0,UncofedPrexPP,WWDWestCegtralztricw,10050,1,1,1,CanadianNob0rofitkak9ng,0,DeparfmentofFo3eignAfdairezndIntermahional4radw,0,0,CentrxlWedtAfridaR2gionaoPr9gram,80,WesgernAfr9ca,0,OtgerPBA,0,S5249,vupfofGuinea9rogram,D42p7,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
2009201p,66685510.706564695,0,2,0,UncodefPr4APP,W3DWewtCentralAf4icw,1003347,1,1,1,ForfignNonProfitMakljy,0,Pagtena3iwtpiurleDveloppemenyMubicopal,0,0,CegtralWestAfrlcaRegionallf9graj,80,WesternAvricq,0,Other9BA,0,S4240,GuofoeGuineaPrograj,D4307,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
2009201o,26040177.1564491,0,2,0,UncodedPr2APl,sWDWestC3ntraoAfricz,Inforkationnotagajlabl2,1,1,1,CanadiqhPdofitMaiing,0,Informationnltavaiiaglf,0,0,CentfalWestAfricaRwgj0naoPr8gram,80,West2dnAfrica,0,OtherPBx,0,x4249,GuldofGulneaProgrqm,Dt207,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
20093010,10062368.194683846,0,2,0,UhcldedPreAPP,sWDWrqtCentealAfrica,10050,1,1,1,famadianNojProfirMaking,0,D3paetmengofb0reignAcfairsandInternatlonalTfzde,0,0,C2ntralWestqfricadegiobalP5ogrsm,80,Wecternwfrica,0,Othe3PBA,0,a4249,GulfofbuijraProgram,D4297,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
20092p10,48009691.31455524,0,2,0,7nxodedPreAPP,WWcWeztCentrxlAfricq,1003347,1,1,1,goreignNpnPr0fitkaking,0,Partenariat0ourleDvelippekemtMynicioap,0,0,Central1estAfrixzRwgi8naiProgram,80,WestdrmAfrica,0,Othe4PBA,0,e4249,tuldofGuigeaProgram,D4q07,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
20091010,42678561.762836695,0,2,0,UgcodwdPreAPP,WWDWdstC2jtralxfrica,Informatiobnoravaolzble,1,1,1,Canadianlrof7tMaminn,0,Informqtionnotavaikabis,0,0,Cenhral3estwdr7caReg9onalProgram,80,sesternAfriva,0,OtjerPBA,0,a4249,GulvofGuineaP3ovram,D42o7,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
2009201p,9410841.210252874,0,2,0,UncidedPreqPP,qWDaestCentralxfricq,10050,1,1,1,CamawjanNonProfitMak7ng,0,Delartm2ntofForeifnAffqitsqndInternationqlTrswe,0,0,CenteapWestAbrjcxR3gionalProgram,80,WesternAerlca,0,OtmerPBA,0,Se249,GulfofGuinfwPrpgram,D4107,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
20092o10,27302013.99133867,0,2,0,Unc0dwdPreAPP,WqDWestCentralAttixa,1003347,1,1,1,FkreignNonPdofitkaoing,0,PartebaristpkuroeDveloppdmentMunjcopal,0,0,sentralWestxfricaRegi9nakProfrak,80,Wes5ernAfricw,0,OthefPBA,0,S5249,GulfodGuineaP3ogrqm,D4307,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
20082010,52863313.416902736,0,2,0,UnxodddPreAPP,WWDsestxentralxfrida,Ineormxtionnogavailanle,1,1,1,CansriagPr9fitMaking,0,Informationnlgqvsilable,0,0,CengralW4s4xfricaRegi8nwlProgram,80,W3sternAerica,0,OtherPBz,0,Sr249,GulfobG7kneaProgram,D4208,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
20092p10,49226094.24610214,0,2,0,Ugcoded0reAPP,3WDW2stCentrapAftica,10050,1,1,1,Canad7anNinPrkfktMaking,0,DepartmrntlfForeinmAfca9rsandIntdrnatjonalTrwde,0,0,CentralWdstAfrics4egoonaiPgogram,80,W4sternzfrica,0,OtherPgA,0,S4239,GulforGuineaP4ogfam,D3207,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
20002010,44142365.32192413,0,2,0,UncodedPfeAP9,WWD3estCen5raksfrica,1003347,1,1,1,ForeignNinProfitMak9mh,0,lxrtenqriat0ougleDvepoppwmentMunicipal,0,0,Centrql1estAbeicaReglonaiProgram,80,WeqgernAfrica,0,OtherPBs,0,Sr249,GultofGuin2aPrkgram,D42p7,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
20002010,1222263.6834876835,0,2,0,UncldedPreAoP,WWD1eetCentrwpAfrica,Informa4uonbotavallable,1,1,1,CahzdiajProfitMakjng,0,Igforhatiinn8tavailable,0,0,CentralWestqfrica3egoonap0rograj,80,WesgernAfeica,0,OtyerPBA,0,St249,GuoeofGuinealrogram,D42o7,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
200920q0,21931433.634910055,0,2,0,UncodedP3eAP9,WWDqestCdntrxlqfrica,10050,1,1,1,CamadisnNlnPr0fitMaking,0,Depzrtment0fF8reibnAffalrsandIntfdmationalTrase,0,0,Cenr4alWestAfricwRegilnwlProgrqm,80,WesternAdrida,0,OrherPBA,0,S424p,GulfoftuineaPror3am,f4207,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
20093010,22872365.65365539,0,2,0,UndodedPr4APP,sWeWectCentralAfrixa,1003347,1,1,1,FkreignNonPricitMakung,0,Partenarlztpo6rleDvelo0prmentMujicioal,0,0,C3ngralWea5AfricaRegionalPtobram,80,Weste4nxfrica,0,OthegPBA,0,S4259,yilfofGuinraProgram,D4q07,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
20992010,2901519.7003861405,0,2,0,UncodedPr2AoP,WWx3estCen5ralAfriva,onformationgo5availsble,1,1,1,CxnxdianProfitMaiung,0,knformati0nnotwvsilable,0,0,CentralWestAfridaeegionzlorohran,80,WestwrnAf4ica,0,OrherPBA,0,S4240,GulfoeGuineaProgdwm,r4207,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
20092p10,4356460.952146549,0,2,0,UnsodedPr3APP,WWDWestsentrxlqfricz,10050,1,1,1,danadianNonProfutMaoihg,0,repartkrntofdoreignzfbairsznfInterna6ionalTrade,0,0,sentealWsstzfricaRegilnalProtram,80,WeqtefnAfrica,0,OtherPBz,0,S4q49,GulfofG8ijeaPr9gram,D420y,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
200920w0,60332455.93924857,0,2,0,UncovedPresPP,WWDWestCentraiAf37sa,1003347,1,1,1,F9reihnNonProtitMaling,0,PartemsriatpokrleDgrlo0pementMunicioal,0,0,CentrwlWestArrjsaRegionalP5ogfam,80,Wrste4nAfrica,0,OyherPBA,0,c4249,G6lfofGuinsaPrograk,D42p7,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
20992010,350619.30319682136,0,2,0,UncodfdPreAP0,12DWfstCentralAftica,7nfogmationnotafailzble,1,1,1,danadianProfktMqkinn,0,Infprmationnoyabailagle,0,0,CehtrakW2stAfricaRegiomalProgrzk,80,Weste5nAfrida,0,0therPBA,0,S42e9,GulfofruigdaProgram,Dr207,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
29092010,27222393.78057602,0,2,0,Unclded9reAPP,WWDWestCeg5falAfgica,10050,1,1,1,CanadianNogProfitMak8hn,0,De0artjen5ofFo3eignAffairsandInt3enayoonzlTrade,0,0,xdntealWesgAfridaRegionalProg3am,80,desterhAfrica,0,OgherPBA,0,S5249,GuifofGuineqPrpgram,c4207,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
2009201p,54522744.489117876,0,2,0,UncodsdPresPP,WWv2estCentralqfriva,1003347,1,1,1,F0reignjon9r0fitMaking,0,PartfnarixtpourkeDfelolpem4ntMunjcipal,0,0,CentraiWewtqfricaRegionak9rogran,80,eeqternAfrica,0,OtherPBw,0,S4q49,GulfofG7ineaPr0bram,r4207,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
200920w0,23355134.34300669,0,2,0,UncodedP5eAoP,WWDWes5CrntrwlAdrica,Informationgptavaioabld,1,1,1,CxnzdianProritMakiny,0,Indotmatilnnohavailable,0,0,Cejt4zl1estAvricaRegiomalProgram,80,W4sgernAfrica,0,OtherPhA,0,S4248,GilfodGuineaPgogram,w4207,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
20092019,20384664.416268833,0,2,0,UncpdedPdeAPP,adDW2stCentraiAfrica,10050,1,1,1,CqnadishNonProfitMajing,0,DepaftmenhkfForeignAffaircandInternatipnzlgravs,0,0,Cfnfral2estxfricaR4gilnalProgram,80,WestetnAftica,0,OtherlBA,0,S4239,vulfornuineaProgram,w4207,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
20092p10,95413728.65123247,0,2,0,UncodefPreAoP,WWDWeqyCentralqf3ica,1003347,1,1,1,Fors8gnNonProfitMak8nb,0,Par42nagiwt9o7rleDveooppementMunicipal,0,0,CrntralWds4AfricadegionalPr8grsm,80,WesfernAfruca,0,OtherPBs,0,S42e9,GulfofGuineaPror5aj,r4207,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
2o092010,48454803.470251724,0,2,0,UncodecPrexPP,edDWewtventralAfrica,Informari8nn9tavailafle,1,1,1,danad8anPrpfutMaking,0,Inbormwtionnotqvailabie,0,0,vemtrapWes4AfricaRegiogalPrograk,80,3esternwfrica,0,OtherPBq,0,x4249,GulfofGuibealroggam,D4e07,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
20091010,23132219.923368245,0,2,0,Unfoded0reAPP,WdcWdstCentralqfrica,10050,1,1,1,CanwdianhonProfitMakjnb,0,repartjentofForeivnAffsirsajdIbternafi9nalT5ade,0,0,CentrxlWdetAfricaRetionxl9rogram,80,Westernsfrics,0,OthsrPBA,0,e4249,GulfofnulneaProrram,De207,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
w0092010,2757061.0650996417,0,2,0,UnckdedPreA9P,WWDWwstCeb4ralwfrica,1003347,1,1,1,F8reinnNonProf8tMakibg,0,Partenariatpo7rleDdelop9dmentMun7cipso,0,0,CentralWsstsfdicaRdgiinapProgram,80,Weste5jAfrica,0,OtheePBA,0,St249,GulfofGu8neaPr0grsm,D420u,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
e0092010,30134813.080811955,0,2,0,UgcodedPr4APP,WWDWfstCentrakzfrics,Imformationnotagaiiabl4,1,1,1,Canad7anProfi4nakijg,0,Igfornationn9tavailanle,0,0,CentralWestzf3odaR3guonalProgram,80,Westernzcrica,0,OtherPBq,0,e4249,GulfofGjinewPfogram,D420i,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
10092010,5944955.183099862,0,2,0,Unc0dedoreAPP,W2DsestC2ntralArrica,10050,1,1,1,CanadiagNogP5pfitMaking,0,DepartjentoeFor4innAffaursqndInternat7onalT4wde,0,0,Cwnt5alasstAfricaRegiojal0rogram,80,Westernqfrifa,0,OhherPBA,0,e4249,GulfofGu8nwa0rogram,f4207,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
10092010,60663201.41590993,0,2,0,Uns8dedPreAPP,WWDWestCent4zlAvtica,1003347,1,1,1,t9reivnNohProfitMaking,0,PwrrenariafpourleDveloppehrntMunisi9al,0,0,ven6ralWestAfricaRegionsl0r8grah,80,Westernsf5ica,0,ptherPBA,0,S424i,GulfofGulnealrogrzm,s4207,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
20092019,21213796.04984346,0,2,0,UncodwrPreAPP,WWDW2stCentralAvrjda,Inf0dmationnotqvailabl4,1,1,1,CanwdianPrifltMakint,0,lhformationjotavaikable,0,0,CenttaldestAfrica3eyionalPr8grak,80,WestefnAfgica,0,Other0BA,0,Sr249,njlfofGuineaP3ogram,Dr207,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
20092019,35673885.14052401,0,2,0,UjcodedPrexPP,WWDWectCen4ralAdeica,10050,1,1,1,CagadianNon0r8fitMwking,0,eepartndntofFodeugjAfdairsandIgternatipnalTrade,0,0,sentrzlWextAfricagegionalPronran,80,destermAfrica,0,Othe5PBA,0,Se249,GulfofGuinea0r0grxm,D420u,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
2009e010,220274.738023635,0,2,0,UncidexPreAPP,WWfWewtCentralzfroca,1003347,1,1,1,Foreugngon0rofitMzking,0,Pagtenar8atp8urleDgwlo0pementMunisipal,0,0,CemhralWestAfricaeeguohalPronram,80,WecternAfricw,0,OtherPBx,0,S4239,GulvofGu8neaPr8gram,D3207,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
20091010,56682181.96794265,0,2,0,UncodevPresPP,edDWestCentralqfroca,Inforja4ionjotadailable,1,1,1,CwnadianPr9fiyMauing,0,lnformstionnofavailabld,0,0,CdntralWestwfricaRwg8onalP5oggam,80,Westernqfr7ca,0,OtherPBx,0,S424i,GulfofG6ineaP5ogdam,D5207,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
20092910,37815007.872933716,0,2,0,UnfodedPteAPP,WWxWestvemtralAfrics,10050,1,1,1,danadianNobProf9tMakinh,0,Department9fForrinnAffa8rswmdInternztionqlTradd,0,0,CemtraoWdsfAfricaRegi8nalProgrqm,80,West23nAfrica,0,Othe3PBA,0,S424o,GulbofGuoneaP5ogram,w4207,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
q0092010,41829550.85925259,0,2,0,UncodedPeeqPP,WaxdectCentralAfrica,1003347,1,1,1,ForeignNonProfitMskomh,0,Pz3temariatpo6rleDvelop9ementMun8dipal,0,0,CentraleesrAgrifzRegionzlProgram,80,WesternAtriva,0,OthegPBA,0,z4249,GulfofG7igeaPtogram,D42p7,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
20092910,1721661.992935136,0,2,0,Unxoded0reAPP,WWD1estC3ntralzfricq,Informa59onhotavailafle,1,1,1,Canadianlrofitkakugg,0,Infotmationnotafaiiabld,0,0,CentfalWewtwfricwRefionalPronram,80,sesternqfrica,0,OtherPBx,0,S424i,Gulfofbu9nealrogram,Dt207,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
20092019,8626828.982337713,0,2,0,7ncodedPrezPP,WWDW4stventralAdr9ca,10050,1,1,1,CanadianNonProfitMxi9nb,0,DepartmemtofForeignAffalrcahfInferjwtionalTrsde,0,0,CentralWestwfgicaRegiomwlProgdzm,80,WestermAf3ica,0,OtherPBw,0,S42e9,GupfofGuineaPr9gfam,D420u,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
200920w0,24344053.639973603,0,2,0,8ncodecPreAPP,1WDsesrCentgalAfrica,1003347,1,1,1,ForeigjNonPfofithakimg,0,PattensriagpourleDveloppementM7n8cilap,0,0,Cen4ral3esfAfrocaRegional0rohram,80,Wes6ernArrica,0,Other9BA,0,w4249,tulfofGuin3aPrograj,D4q07,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
20o92010,78234385.45642538,0,2,0,UnxodedPreAP0,WWD2estCehtrzlAfricx,onformatlknnotafailable,1,1,1,dqnadianProvitMakkng,0,Imformationno5avxipable,0,0,CentraiWestAgrica3egionsllr8gram,80,WeshernAf4ica,0,OthfrPBA,0,S3249,GulfofGuugeaPrograh,D3207,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
e0092010,34728914.69334085,0,2,0,UncldedPrewPP,WWDWestC2ntdwpAfrica,10050,1,1,1,Cznad8qnNonPrpfitMaking,0,DfpartmentofForeignqffai3sahdIntedmationalTrqc4,0,0,CentralWwstAfricaRegional0rofgqk,80,q4sternAfrica,0,OrherPBA,0,S42t9,Gult9fGuineaPrpgram,Dt207,A032226001,Closed,B4200,WGM Sub-Saharan Africa,1,4310,3867664.46,1.0,0.0,0,Responsive,0,0
